"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc.","S&P 500","Healthcare","Diagnostics & Research","USA",41881.42,30.21,25.82,5.92,6.45,7.10,23.54,29.56,20.53,6.19,0.94,0.64%,21.48%,4.83,1.41,-3.70%,7.77%,33.93%,5.10%,7.00%,-5.62%,157.53%,6497.00,1413.00,4.85%,1.32%,292.12,286.18,97.97%,0.40%,-3.19%,91.61%,-1.87%,1.09%,2.08,3.13,13.04%,24.66%,17.57%,1.78,1.37,0.36,0.50,54.84%,24.49%,21.75%,-0.01%,-0.03%,-0.07%,-0.10%,-0.17%,-0.10%,0.09%,0.17%,-0.32%,1.22%,0.80%,5.39%,9.18%,6.55%,31.90%,4.84%,1.05,2.79,1.24%,1.91%,1.30%,3.55%,5.40%,-2.88%,9.55%,-6.17%,50.58%,-18.83%,1960.34%,58.35,8/21/2024 4:30:00 PM,11/18/1999,Yes,Yes,18100,1.10%,-0.05%,2.38,1507.71,0.56,425572,5625,149.93,144.25,144.18,146.66,144.07,145.76,1.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA",10796.03,,15.50,,1.01,1.92,7.30,,21.71,5.72,0.40,0.96%,,-3.08,0.25,117.43%,581.29%,,,-2.77%,4.08%,119.28%,10733.00,-550.00,107.79%,2.18%,258.34,256.35,99.23%,0.77%,0.00%,62.51%,11.84%,3.90%,1.62,10.00,-3.87%,-12.58%,-8.64%,1.55,0.92,0.63,0.65,3.05%,0.29%,-5.12%,0.00%,0.13%,0.18%,0.29%,0.30%,0.15%,0.78%,0.22%,1.68%,1.43%,10.76%,21.13%,13.53%,15.79%,57.22%,22.91%,2.43,1.56,3.89%,3.36%,9.63%,22.04%,21.62%,-0.48%,54.09%,-8.11%,81.14%,-57.40%,709.88%,68.69,10/16/2024 4:30:00 PM,10/18/2016,Yes,Yes,13600,0.94%,-0.96%,1.93,6182.04,0.72,2267310,14830,44.90,41.80,41.40,41.81,41.00,41.79,-0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.59,6.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,-0.01%,0.03%,0.10%,-0.01%,-0.01%,0.15%,-0.01%,0.03%,1.14%,0.60%,0.02,0.07,0.26%,0.29%,0.13%,0.17%,0.07%,-0.31%,0.64%,-0.68%,1.31%,-1.14%,4.49%,54.60,,9/9/2020,No,Yes,,-0.01%,0.02%,,6.23,1.25,3964,26,,25.10,25.11,25.10,25.03,25.11,0.01%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,44,22490550,24.99,0.00,0.00,0.00,0.00,0.00,9997823.00,80.03,14953754.30,198.41,7.79,4.91,,,3.76,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02%,-0.04%,-0.04%,-0.06%,-0.04%,-0.11%,0.00%,0.06%,0.25%,0.42%,1.62%,3.19%,8.43%,11.41%,37.97%,28.99%,0.20,0.26,0.75%,0.84%,1.01%,4.37%,14.97%,-0.45%,11.88%,-0.45%,38.96%,-0.45%,124.54%,63.47,,8/15/2018,No,Yes,,0.53%,-0.06%,,2090.83,0.92,973257,1510,,26.24,26.22,26.39,26.18,26.36,0.48%,,,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,899610572,26.20,0.01,42537906.50,4.96,76866406.50,9.34,97434728.34,12.15,143903709.54,19.04,41.73,14.60,11.96,,13.92,"Global commodity gold physical"
5,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China",31.79,,,,0.95,2.88,5.76,,0.35,0.17,,,,-0.15,,,,25.83%,25.00%,1398.74%,38.45%,7.30%,33.61,-4.63,,,31.45,8.84,28.11%,,,0.83%,-0.89%,0.23%,0.43,0.02,-7.22%,-35.38%,-33.64%,0.18,0.18,0.25,0.48,53.17%,-17.01%,-13.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.41%,0.46%,-0.52%,-0.53%,14.44%,97.95%,70.01%,12.48%,-9.57%,-14.23%,0.82,0.07,8.95%,9.81%,26.64%,48.11%,7.74%,-2.48%,98.94%,-39.72%,98.94%,-94.96%,358.46%,76.64,8/7/2024 4:30:00 PM,1/29/2008,No,Yes,581,-0.53%,0.01%,1.00,46.49,0.60,14206,80,6.50,1.00,1.00,1.01,0.99,0.99,-0.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA",676.87,25.71,,,,1.31,483.48,,8.25,0.02,,,0.00%,0.42,,,,,,0.00%,,84.91%,0.00,26.33,,,50.00,50.00,100.00%,20.00%,0.00%,68.28%,,0.06%,0.15,0.03,5.01%,5.24%,5.06%,3.83,3.83,0.01,0.01,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.33%,-0.09%,0.28%,1.31%,2.17%,5.45%,3.74%,0.01,0.04,0.57%,0.37%,0.09%,0.40%,1.78%,-1.55%,0.93%,-1.55%,5.45%,-1.55%,7.28%,58.59,,6/12/2023,No,Yes,4,-0.33%,0.33%,,196.64,0.40,40406,37,,10.83,10.87,10.83,10.83,10.83,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AADI","Aadi Bioscience Inc","-","Healthcare","Biotechnology","USA",51.68,,,,2.17,0.66,0.66,,3.20,3.19,,,,-2.43,-0.46,17.21%,50.87%,11.87%,,225.26%,-0.37%,19.25%,23.82,-65.44,21.74%,-0.18%,24.55,17.92,72.99%,27.20%,-3.04%,50.28%,20.28%,1.97%,1.52,0.35,-51.76%,-62.26%,-82.35%,4.20,3.92,0.01,0.09,87.18%,-296.67%,-274.77%,0.00%,0.00%,0.00%,0.00%,-1.41%,-1.41%,-1.35%,-1.87%,-1.87%,-3.67%,7.69%,11.70%,33.76%,17.32%,-50.35%,3.96%,0.70,0.10,5.53%,5.26%,7.20%,19.07%,16.10%,-2.78%,73.55%,-63.16%,73.55%,-97.93%,73.55%,66.02,8/7/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,-2.33%,0.00%,3.00,231.77,0.23,26975,109,1.62,2.15,2.15,2.19,2.12,2.10,-2.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.08,1.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,-0.39%,2.86%,2.93%,4.39%,8.87%,31.69%,15.79%,1.05,0.63,0.38%,0.45%,1.93%,4.33%,6.88%,-0.30%,19.29%,-0.47%,40.38%,-6.15%,165.56%,61.04,,7/21/2010,No,Yes,,-0.39%,0.09%,,0.64,0.03,11,6,,65.29,65.35,65.35,65.35,65.09,-0.30%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,36,25469798,65.31,-0.00,0.00,0.00,-1497950.00,-5.55,-3679650.00,-12.62,-6293850.00,-19.81,31.42,0.92,6.42,5.89,7.06,"International equity"
9,"AAL","American Airlines Group Inc","-","Industrials","Airlines","USA",8015.02,,6.34,,0.15,,0.86,,-7.23,14.19,,,0.00%,-0.28,0.17,-52.43%,52.79%,-17.73%,-5.26%,16.93%,1.99%,-46.96%,53448.00,-121.00,2.68%,-0.30%,654.27,647.99,99.04%,1.33%,0.00%,61.69%,4.85%,13.03%,2.32,84.43,-0.18%,,-0.41%,0.60,0.50,,,20.24%,5.34%,-0.23%,0.02%,-0.10%,-0.04%,-0.08%,0.16%,0.16%,-0.08%,-1.21%,-0.44%,0.46%,2.39%,12.90%,10.85%,-6.33%,4.14%,-11.17%,1.43,0.43,3.00%,3.17%,7.19%,13.47%,-3.54%,-0.37%,34.56%,-24.43%,34.56%,-79.34%,47.94%,67.01,10/24/2024 8:30:00 AM,12/9/2013,Yes,Yes,132100,0.78%,2.02%,2.46,36354.54,1.21,22354275,35650,12.28,11.87,12.11,12.47,12.10,12.20,2.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"AAM","AA Mission Acquisition Corp.","-","Financial","Shell Companies","USA",527.05,,,,,,,,-0.00,0.00,,,,,,,,,,,,,,,,,52.60,,,,,0.07%,,,0.07,0.03,,,,0.07,0.07,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,0.40%,,0.01,0.08%,,0.14%,0.15%,0.15%,-0.20%,0.60%,-0.20%,0.60%,-0.20%,0.60%,,,9/16/2024,No,Yes,,0.00%,0.00%,,385.28,0.00,0,0,,10.02,10.02,10.02,10.02,10.02,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
