"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc.","S&P 500","Healthcare","Diagnostics & Research","USA",41113.39,33.42,22.98,4.15,6.10,6.64,23.52,24.93,21.12,5.96,0.94,0.67%,21.48%,4.20,1.19,1.13%,10.99%,33.93%,8.05%,7.00%,-5.58%,-0.13%,6735.00,1236.00,5.31%,4.45%,292.12,291.84,99.90%,0.41%,-11.59%,92.75%,-3.29%,1.35%,2.51,3.95,11.30%,20.95%,13.95%,2.68,2.04,0.43,0.44,54.54%,23.91%,18.35%,0.01%,-0.11%,-0.13%,-0.07%,0.01%,-0.01%,-0.17%,-0.45%,-0.20%,-1.37%,-2.89%,-3.39%,7.47%,28.78%,-0.70%,0.91%,1.12,3.13,1.80%,1.87%,-3.51%,-0.31%,11.37%,-7.45%,9.38%,-7.45%,44.93%,-21.87%,1883.01%,42.90,2/27/2024 4:30:00 PM,11/18/1999,Yes,Yes,18100,-2.19%,1.92%,2.43,1572.92,0.52,461982,7696,149.89,140.73,143.43,143.25,140.20,140.29,-0.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA",6598.83,,18.29,,0.62,1.54,6.13,,23.82,5.99,0.35,0.95%,,-3.66,-0.64,99.43%,15671.51%,,44.30%,-2.77%,-3.85%,60.23%,10706.00,-651.00,33.86%,0.21%,178.47,177.40,99.40%,1.20%,-1.28%,85.25%,-5.63%,8.10%,2.26,14.37,-4.50%,-13.96%,-10.69%,1.45,0.74,0.43,0.46,2.25%,-0.22%,-6.08%,-0.38%,-0.57%,-0.43%,-0.47%,-0.26%,-0.33%,-0.03%,-1.05%,-0.30%,0.00%,1.13%,22.42%,22.38%,36.62%,-10.23%,8.09%,2.47,1.50,4.23%,4.08%,8.77%,21.51%,24.04%,-3.37%,47.83%,-12.98%,59.30%,-62.53%,612.21%,65.97,4/17/2024 4:30:00 PM,10/18/2016,Yes,Yes,13600,-0.54%,4.97%,3.14,6349.67,1.35,4841671,24714,32.27,35.20,36.95,37.57,36.54,36.75,4.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","AXS First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.56,6.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.06%,-0.01%,-0.06%,0.23%,0.22%,0.20%,1.29%,2.57%,0.70%,0.03,0.07,0.21%,0.26%,0.15%,0.13%,0.85%,-0.50%,0.52%,-0.50%,4.19%,-1.04%,4.60%,54.73,,9/9/2020,No,Yes,,-0.06%,0.24%,,7.98,0.62,2775,11,,25.09,25.15,25.15,25.14,25.13,0.18%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,47,19990560,24.99,0.01,2496120.00,14.27,7494633.00,59.98,7494633.00,59.98,12450564.30,165.13,9.04,3.89,,,3.36,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02%,0.00%,-0.04%,-0.04%,-0.04%,0.01%,0.39%,0.26%,0.37%,-0.13%,0.78%,8.92%,15.04%,26.04%,15.32%,14.17%,0.20,0.32,1.91%,1.19%,4.90%,10.19%,17.41%,-3.07%,18.79%,-3.07%,29.83%,-3.07%,98.73%,72.77,,8/15/2018,No,Yes,,0.11%,0.50%,,2549.65,2.88,4137947,2687,,23.19,23.31,23.37,23.01,23.33,0.60%,,,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,680462100,23.22,0.00,8103780.00,1.21,-33012945.00,-4.63,-25846275.00,-3.66,61152661.50,9.87,16.07,10.41,12.16,,12.77,"Global commodity gold physical"
5,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China",27.05,,,,0.87,1.70,3.19,,0.51,0.27,,,,-0.15,,,,25.83%,25.00%,1398.74%,4.80%,317.78%,31.12,-4.86,,,31.45,8.84,28.11%,,,16.32%,-0.76%,0.30%,0.84,0.03,-7.28%,-26.63%,-28.15%,0.22,0.22,0.08,0.20,51.60%,-19.27%,-15.63%,-5.48%,-5.48%,-5.48%,-5.48%,-0.34%,-0.34%,-0.34%,-0.34%,0.00%,-8.49%,-19.63%,-46.58%,-15.69%,-21.82%,-54.26%,-25.84%,1.00,0.13,12.70%,13.62%,-23.91%,-31.64%,-25.43%,-47.88%,-2.27%,-58.45%,9.04%,-95.65%,296.38%,28.92,3/26/2024 4:30:00 PM,1/29/2008,No,Yes,581,-8.02%,1.63%,1.00,31.82,0.58,10461,60,6.50,0.92,0.94,0.94,0.86,0.86,-6.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACI","Armada Acquisition Corp I","-","Financial","Shell Companies","USA",91.03,,,,,5.48,1820.61,,2.06,0.01,,,,-0.15,,,,,,0.00%,,-252.22%,0.00,-1.29,,,8.07,2.53,31.35%,68.71%,0.00%,28.27%,20.18%,0.08%,0.18,0.00,-1.43%,-1.56%,-7.74%,0.01,0.01,0.00,0.17,,0.00%,,0.00%,0.05%,0.05%,0.05%,0.05%,0.05%,-0.18%,-0.18%,-0.18%,-0.18%,-4.81%,2.73%,5.13%,10.59%,13.83%,4.74%,0.01,0.27,2.13%,2.52%,0.71%,2.21%,6.95%,-9.98%,4.64%,-9.98%,11.68%,-9.98%,31.78%,52.64,,11/10/2021,No,Yes,2,1.17%,0.27%,,11.18,0.22,1408,4,,11.12,11.15,11.28,11.27,11.28,1.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA",663.14,39.21,,,,1.32,347.19,,8.04,0.03,,,0.00%,0.27,,,,,,0.00%,,,0.00,16.92,,,50.00,49.25,98.50%,21.20%,0.00%,76.21%,,0.06%,0.17,0.03,,,3.33%,8.65,8.65,0.01,0.01,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,-0.05%,-0.05%,-0.05%,-0.05%,-0.37%,0.24%,0.48%,1.53%,3.21%,,1.63%,,0.02,0.17%,0.13%,0.33%,0.61%,2.47%,-0.28%,1.24%,-1.35%,5.10%,-1.35%,5.10%,67.80,,6/12/2023,No,Yes,4,-0.37%,0.37%,,168.51,0.22,21376,89,,10.61,10.65,10.62,10.61,10.61,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADI","Aadi Bioscience Inc","RUT","Healthcare","Biotechnology","USA",46.77,,,,1.92,0.44,0.43,,4.28,4.43,,,,-2.44,-0.62,-1.07%,-18.00%,11.87%,,225.26%,21.03%,-16.38%,24.35,-65.77,7.41%,0.53%,24.55,17.44,71.04%,28.99%,-3.39%,41.24%,13.61%,5.41%,2.52,0.94,-41.54%,-49.90%,-62.03%,4.72,4.48,0.01,0.07,88.47%,-295.36%,-270.04%,0.00%,0.26%,0.26%,0.26%,0.00%,-0.26%,-0.52%,-1.80%,-2.13%,-2.81%,-11.40%,-7.07%,10.76%,-54.64%,-76.57%,-5.69%,0.62,0.12,6.07%,5.53%,-11.81%,-6.53%,-51.80%,-22.87%,14.76%,-77.98%,22.90%,-98.12%,22.90%,37.66,3/13/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,-2.81%,0.00%,1.40,374.27,0.27,56029,687,11.67,1.96,1.96,1.96,1.90,1.90,-2.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.43,0.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.53%,-0.07%,-2.62%,0.40%,9.92%,22.46%,24.52%,8.22%,1.03,0.66,0.52%,0.77%,-1.67%,2.02%,13.44%,-3.70%,10.00%,-3.70%,33.36%,-12.28%,148.20%,47.33,,7/21/2010,No,Yes,,-0.07%,-0.44%,,1.15,0.05,31,9,,61.15,60.88,60.88,60.88,60.84,-0.51%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,39,25955957,61.07,-0.00,-1557700.00,-5.66,-1557700.00,-5.66,-1557700.00,-5.66,-9151244.00,-26.07,27.01,-0.53,5.66,5.10,6.82,"International equity"
10,"AAGR","African Agriculture Holdings Inc","-","Consumer Defensive","Farm Products","USA",23.15,,,,,3.43,1157.40,,0.12,0.00,,,,-0.30,,,,,,,,-148.38%,0.00,-4.53,,,57.87,15.53,26.84%,73.17%,0.00%,4.13%,2.17%,4.05%,2.14,0.63,-4.04%,-4.81%,-294.64%,0.01,0.01,0.00,1.06,,0.00%,,0.00%,-2.34%,-2.34%,-2.34%,-2.34%,-2.34%,0.00%,1.01%,0.00%,-14.89%,14.45%,-21.57%,-57.97%,-94.71%,-94.43%,-68.00%,-0.94,0.08,25.75%,16.34%,1.38%,-33.86%,-91.21%,-62.62%,37.88%,-96.49%,37.88%,-96.49%,37.88%,43.41,,10/5/2021,No,Yes,,-14.71%,0.00%,,294.23,0.62,102737,132,,0.47,0.47,0.47,0.40,0.40,-14.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,
