"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc.","S&P 500","Healthcare","Diagnostics & Research","USA",39508.12,32.11,22.28,3.38,5.78,6.74,24.85,26.80,20.01,5.43,0.94,0.69%,21.48%,4.20,1.22,0.55%,10.64%,33.93%,9.50%,7.00%,-8.71%,31.28%,6833.00,1240.00,2.79%,1.17%,292.12,291.90,99.92%,0.38%,-8.20%,90.84%,-3.29%,0.99%,1.68,2.90,11.65%,22.24%,14.26%,2.61,1.97,0.49,0.50,54.65%,24.07%,18.15%,0.00%,0.00%,0.00%,0.00%,-0.01%,-0.01%,-0.01%,-0.01%,-0.14%,-0.60%,1.12%,3.36%,18.70%,11.58%,-11.14%,-3.01%,1.11,3.14,2.14%,2.32%,1.87%,1.31%,10.43%,-4.53%,7.21%,-10.20%,39.30%,-24.91%,1805.98%,55.59,2/27/2024 4:30:00 PM,11/18/1999,Yes,Yes,18100,0.94%,-0.86%,2.53,1727.85,0.62,1066817,12074,136.94,134.75,133.59,136.27,133.59,134.84,0.07%,134.83,-0.01%,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA",4890.08,,11.21,,0.46,1.08,4.87,,25.26,5.63,0.35,1.28%,,-3.66,-0.47,106.50%,1557.62%,,12.30%,-3.01%,-3.89%,60.23%,10705.00,-651.00,33.86%,0.21%,176.97,176.48,99.72%,1.12%,0.00%,85.91%,-5.66%,6.65%,1.92,11.74,-4.50%,-13.96%,-10.88%,1.45,0.74,0.41,0.43,2.24%,-0.23%,-6.08%,0.00%,-0.37%,-0.37%,-0.37%,-0.37%,-0.37%,-0.37%,-0.26%,-0.26%,-1.73%,1.90%,2.43%,1.67%,-5.87%,-43.40%,-19.41%,2.47,1.30,4.22%,4.11%,-3.81%,-6.72%,-9.93%,-21.79%,15.13%,-50.84%,18.77%,-72.07%,431.01%,44.79,1/17/2024 4:30:00 PM,10/18/2016,Yes,Yes,13100,0.48%,-0.44%,3.20,6121.28,0.77,4686152,16325,31.36,27.39,27.27,28.03,27.16,27.40,0.04%,27.33,-0.26%,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","AXS First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.53,6.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.26%,0.09%,0.36%,0.04%,0.08%,0.84%,1.27%,2.07%,0.66%,0.03,0.10,0.47%,0.35%,0.04%,0.25%,1.24%,-0.41%,0.98%,-0.46%,4.15%,-1.08%,4.55%,55.81,,9/9/2020,No,Yes,,-0.38%,0.36%,,6.28,1.14,7167,20,,25.13,25.22,25.22,25.10,25.12,-0.02%,25.19,0.26%,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,42,15006018,25.01,0.00,2502168.70,20.01,4984778.70,49.74,2502168.70,20.01,7458100.00,98.81,8.38,3.53,,,3.23,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.02%,-0.67%,-0.57%,2.63%,6.44%,9.27%,-2.54%,0.19,0.18,0.65%,0.66%,-0.64%,-0.90%,2.18%,-3.52%,1.76%,-3.52%,11.01%,-3.52%,69.64%,45.86,,8/15/2018,No,Yes,,0.68%,-0.33%,,1968.36,1.81,3564397,2094,,19.84,19.78,19.96,19.76,19.92,0.35%,19.94,0.13%,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,601361958,19.84,0.00,-14007570.00,-2.28,40467686.20,7.21,-6840900.00,-1.12,-20677423.50,-3.32,9.27,3.70,8.71,,10.07,"Global commodity gold physical"
5,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China",45.81,,,,1.50,3.22,5.11,,0.45,0.29,,,,-0.18,,,,,25.00%,1747.97%,7.91%,42.42%,30.59,-5.76,,,31.38,8.84,28.17%,,,16.36%,-0.77%,0.17%,0.93,0.02,-8.84%,-33.96%,-35.81%,0.22,0.22,0.13,0.29,50.68%,-21.46%,-18.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.69%,-8.38%,5.52%,16.80%,35.19%,69.77%,15.05%,-21.08%,25.89%,1.15,0.09,9.44%,7.05%,26.27%,40.09%,21.69%,-1.35%,85.11%,-41.36%,85.11%,-92.61%,572.92%,77.74,11/13/2023 4:30:00 PM,1/29/2008,No,Yes,,5.04%,-2.78%,1.00,16.56,2.33,38660,315,6.50,1.43,1.39,1.50,1.32,1.46,2.12%,1.53,4.79%,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACI","Armada Acquisition Corp I","-","Financial","Shell Companies","USA",88.61,,,,,5.33,1772.17,,2.06,0.01,,,,-0.15,,,,,,0.00%,,-252.22%,0.00,-1.29,,,8.07,2.53,31.35%,68.71%,0.00%,28.27%,20.18%,0.06%,0.08,0.00,-1.43%,-1.56%,-7.74%,0.01,0.01,0.00,0.17,,0.00%,,0.00%,0.00%,0.00%,0.00%,-0.09%,-0.09%,-0.09%,-0.09%,0.64%,0.64%,0.73%,1.29%,2.14%,8.82%,11.13%,1.95%,0.01,0.06,0.22%,0.23%,0.54%,1.54%,5.67%,-0.63%,3.49%,-0.63%,9.80%,-10.00%,28.27%,57.02,,11/10/2021,No,Yes,2,0.64%,-1.27%,,18.03,0.03,509,5,,11.05,10.91,10.98,10.91,10.98,-0.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA",657.50,,,,,1.33,292.22,,7.93,0.04,,,,,,,,,,0.00%,,,,,,,62.50,49.25,78.80%,21.20%,0.00%,68.99%,,0.02%,0.09,0.01,,,,8.96,8.96,0.01,0.01,,,,0.00%,-0.05%,-0.05%,-0.05%,-0.05%,-0.05%,-0.05%,-0.05%,-0.05%,-0.05%,0.14%,0.53%,1.84%,3.24%,,0.77%,,0.02,0.12%,0.14%,0.22%,0.61%,2.08%,-2.19%,1.45%,-2.19%,4.21%,-2.19%,4.21%,65.35,,6/12/2023,No,Yes,,0.00%,-0.05%,,129.78,1.11,143900,89,,10.52,10.52,10.52,10.52,10.52,-0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADI","Aadi Bioscience Inc","RUT","Healthcare","Biotechnology","USA",46.61,,,,2.00,0.39,0.39,,4.82,4.86,,,,-2.36,-0.65,7.36%,-7.24%,29.51%,,266.56%,40.38%,11.09%,23.25,-63.41,17.13%,-9.98%,24.44,16.80,68.74%,31.50%,-3.16%,41.73%,13.63%,6.78%,2.54,1.14,-38.00%,-44.14%,-53.22%,6.48,6.30,0.01,0.06,91.50%,-299.67%,-272.66%,0.00%,0.00%,0.00%,0.53%,0.26%,-0.52%,-0.26%,0.00%,-0.04%,0.26%,1.60%,13.10%,-59.66%,-66.55%,-83.99%,-5.94%,0.56,0.12,5.14%,5.23%,7.50%,-19.31%,-62.48%,-65.70%,22.58%,-84.05%,22.58%,-98.12%,22.58%,47.81,11/8/2023 8:30:00 AM,8/8/2017,Yes,Yes,79,0.00%,0.00%,1.40,447.88,0.41,184134,769,17.75,1.90,1.90,1.93,1.88,1.90,0.00%,1.90,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.42,0.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.45%,-0.85%,0.46%,5.05%,12.81%,13.97%,14.95%,1.73%,1.02,0.58,0.57%,0.53%,1.99%,3.21%,11.71%,-0.23%,7.89%,-0.23%,28.29%,-17.55%,133.31%,59.78,,7/21/2010,No,Yes,,0.14%,-0.37%,,0.89,0.24,212,12,,57.32,57.11,57.35,57.19,57.19,-0.23%,57.19,-0.85%,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,39,25817721,57.37,-0.00,0.00,0.00,-1379450.00,-5.07,0.00,0.00,-7835494.00,-23.28,14.95,-5.25,4.91,4.58,6.38,"International equity"
10,"AAGR","African Agriculture Holdings Inc","-","Consumer Defensive","Farm Products","USA",66.95,,,,,7.11,3347.50,,0.12,0.00,,,,-0.30,,,,,,0.00%,,-148.38%,0.00,-4.53,,,80.76,56.75,70.27%,29.72%,0.00%,2.99%,2.17%,0.14%,0.12,0.08,-4.04%,-4.81%,-294.64%,0.01,0.01,0.00,1.06,,0.00%,,0.00%,0.00%,3.62%,4.94%,3.62%,3.50%,-1.05%,6.28%,-0.12%,1.09%,-8.90%,-1.01%,-89.12%,-88.73%,-88.25%,-33.68%,-0.64,0.16,12.69%,12.34%,-11.54%,-35.91%,-85.87%,-92.72%,81.80%,-92.72%,81.80%,-92.72%,81.80%,31.47,,10/5/2021,No,Yes,4,0.48%,-0.60%,,703.74,0.13,91421,215,,0.83,0.82,0.85,0.76,0.83,-0.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,
