"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc.","S&P 500","Healthcare","Diagnostics & Research","USA",38477.31,31.16,23.04,6.30,5.84,6.19,23.03,25.02,21.31,5.73,0.94,0.71%,21.48%,4.23,1.26,-4.33%,9.97%,33.93%,4.95%,7.00%,-8.39%,3.38%,6591.00,1242.00,2.42%,-0.56%,292.12,290.54,99.46%,0.42%,-6.17%,92.40%,-3.30%,1.43%,2.05,4.15,11.47%,20.71%,14.58%,2.15,1.64,0.37,0.47,54.65%,24.00%,18.84%,0.03%,-0.03%,-0.03%,-0.05%,-0.20%,-0.08%,-0.34%,0.06%,-0.23%,-0.26%,4.61%,-0.96%,-6.29%,1.70%,10.50%,-5.14%,1.05,2.77,1.80%,1.97%,1.30%,-4.14%,0.47%,-15.11%,6.22%,-15.11%,36.24%,-26.56%,1764.14%,50.40,5/29/2024 4:30:00 PM,11/18/1999,Yes,Yes,18100,-0.15%,-0.12%,2.52,2020.43,0.28,263429,4259,139.86,132.23,132.07,133.14,131.28,131.88,-0.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA",7090.82,,15.60,,0.67,1.78,5.03,,22.24,7.86,0.34,0.87%,,-3.77,0.08,118.14%,514.50%,,63.40%,-2.77%,-3.07%,-8.48%,10622.00,-672.00,-26.37%,2.12%,178.47,177.54,99.48%,1.13%,-1.36%,84.79%,-5.63%,6.81%,2.21,12.09,-4.68%,-15.48%,-10.40%,1.61,0.93,0.62,0.64,1.59%,-0.97%,-6.33%,0.00%,0.05%,-0.01%,-0.03%,-0.11%,-0.26%,-0.58%,-0.48%,-1.22%,0.30%,-5.21%,-0.55%,12.19%,27.88%,7.63%,16.15%,2.45,1.57,4.75%,3.55%,-0.42%,-1.68%,23.41%,-13.17%,16.56%,-13.17%,71.17%,-59.74%,665.31%,47.49,7/17/2024 4:30:00 PM,10/18/2016,Yes,Yes,13600,0.88%,0.50%,2.77,5465.36,0.76,1965427,9443,42.75,38.95,39.15,40.06,38.55,39.49,1.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.58,6.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.02%,0.02%,0.02%,0.06%,-0.02%,0.10%,0.20%,0.06%,-0.00%,-0.06%,0.18%,1.85%,0.46%,0.03,0.08,0.21%,0.33%,-0.08%,-0.12%,0.15%,-0.81%,0.30%,-0.81%,3.94%,-1.28%,4.35%,47.79,,9/9/2020,No,Yes,,0.20%,-0.24%,,7.96,1.81,6801,30,,25.08,25.02,25.08,25.05,25.07,-0.04%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,46,22515480,25.02,0.00,0.00,0.00,2503190.00,12.51,9997823.00,79.87,14953754.30,197.76,8.58,4.38,,,3.55,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04%,-0.00%,-0.04%,-0.02%,-0.04%,-0.05%,-0.04%,-0.06%,0.50%,0.75%,3.11%,4.75%,3.75%,19.85%,23.83%,17.74%,0.19,0.27,0.96%,0.82%,3.71%,3.70%,13.82%,-0.27%,6.70%,-0.27%,33.89%,-0.27%,104.95%,65.67,,8/15/2018,No,Yes,,0.65%,0.15%,,2525.12,1.08,1281959,1247,,23.87,23.91,24.11,23.86,24.06,0.80%,,,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,746335040,23.84,0.01,5769507.24,0.78,54518376.84,7.88,20568321.84,2.83,-20175527.96,-2.63,22.95,9.90,11.02,,12.75,"Global commodity gold physical"
5,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China",23.91,,,,0.76,1.50,3.00,,0.51,0.25,,,,-0.15,,,,25.83%,25.00%,1398.74%,8.25%,3.87%,31.63,-4.77,,,31.45,8.84,28.11%,,,16.58%,-0.76%,0.15%,1.14,0.01,-7.11%,-30.14%,-29.99%,0.23,0.22,0.19,0.36,51.74%,-18.64%,-15.07%,-3.78%,-3.78%,-3.78%,-4.98%,-4.98%,-4.98%,-4.39%,-4.99%,0.69%,-3.97%,-7.87%,-10.58%,-17.38%,-33.90%,-49.99%,-34.46%,0.85,0.06,3.59%,5.73%,-7.92%,-11.78%,-25.62%,-31.52%,-2.55%,-53.93%,-2.55%,-96.15%,250.33%,38.27,5/14/2024 4:30:00 PM,1/29/2008,No,Yes,581,14.04%,-19.70%,1.00,11.92,11.69,65688,166,6.50,0.83,0.67,0.83,0.67,0.76,-8.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACI","Armada Acquisition Corp I","-","Financial","Shell Companies","USA",85.70,,,,,14.02,779.11,,0.86,0.02,,,,-0.20,,,,,,0.00%,,-1987.50%,0.00,-1.64,,,8.07,1.49,18.46%,77.83%,0.00%,16.14%,23.59%,0.00%,0.00,0.00,-6.21%,-9.14%,-26.85%,0.01,0.01,0.00,0.48,,0.00%,,0.00%,0.00%,0.00%,0.00%,-0.72%,0.08%,0.17%,0.25%,1.22%,3.62%,5.21%,4.07%,7.13%,11.81%,18.25%,11.61%,-0.02,0.16,0.65%,0.73%,4.95%,4.57%,9.78%,-3.76%,6.84%,-4.07%,15.13%,-4.07%,40.42%,74.69,,11/10/2021,No,Yes,2,3.26%,0.34%,,32.31,11.23,171079,618,,11.60,11.64,12.35,11.56,12.02,3.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA",668.87,28.70,,,,1.31,407.85,,8.15,0.03,,,0.00%,0.37,,,,,,0.00%,,,0.00,23.31,,,50.00,50.00,100.00%,20.00%,0.00%,68.05%,,0.00%,0.01,0.00,8.75%,9.16%,4.53%,4.89,4.89,0.01,0.01,,0.00%,,0.00%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.07%,-0.07%,0.21%,0.30%,0.87%,2.31%,5.33%,2.51%,0.01,0.02,0.15%,0.16%,0.31%,0.50%,1.96%,-0.07%,1.15%,-0.49%,5.33%,-0.49%,6.01%,66.42,,6/12/2023,No,Yes,4,-0.07%,0.09%,,306.35,0.17,24580,22,,10.70,10.71,10.70,10.69,10.70,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADI","Aadi Bioscience Inc","-","Healthcare","Biotechnology","USA",38.05,,,,1.60,0.42,0.43,,3.68,3.60,,,,-2.55,-0.69,-4.10%,-12.44%,11.87%,,225.26%,-8.76%,-19.60%,23.84,-68.83,-8.97%,-17.26%,24.55,17.48,71.20%,28.83%,-3.33%,43.08%,13.61%,4.27%,3.35,0.75,-48.86%,-58.22%,-75.47%,5.16,4.86,0.01,0.08,87.70%,-313.00%,-288.72%,0.00%,0.00%,0.00%,-0.64%,-0.64%,-1.27%,-2.21%,0.00%,-1.59%,-3.73%,13.14%,-8.82%,-20.92%,-9.36%,-74.51%,-23.27%,0.69,0.09,4.97%,6.33%,0.71%,-10.29%,-41.69%,-27.23%,21.09%,-78.59%,21.09%,-98.47%,21.09%,48.37,5/8/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,-4.32%,4.52%,1.40,223.22,0.43,45251,282,11.00,1.55,1.62,1.61,1.54,1.55,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.83,1.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.28%,0.37%,0.08%,2.90%,0.92%,4.48%,16.63%,26.36%,13.64%,1.05,0.49,0.18%,0.44%,2.50%,1.07%,11.52%,-2.31%,5.03%,-2.31%,37.78%,-7.89%,160.65%,61.41,,7/21/2010,No,Yes,,0.08%,0.38%,,0.93,1.52,667,10,,63.60,63.84,63.84,63.84,63.89,0.46%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,37,26493141,63.84,0.00,-624000.00,-2.30,-624000.00,-2.30,-2181700.00,-7.61,-8069250.00,-23.35,27.15,-1.00,4.67,5.03,7.00,"International equity"
10,"AAGR","African Agriculture Holdings Inc","-","Consumer Defensive","Farm Products","USA",10.01,,,,7.94,,142.94,,-0.42,0.00,,,,-0.72,,,,,,83.79%,-16.93%,-24.46%,1.26,-37.30,,,57.87,15.65,27.04%,72.96%,0.00%,3.39%,2.17%,3.92%,0.45,0.61,-265.30%,-953.01%,,0.11,0.03,,,-1634.04%,-2752.45%,-2950.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,-0.40%,-1.26%,-3.94%,-1.20%,-50.32%,-63.13%,-79.89%,-97.64%,-86.17%,-0.82,0.03,8.43%,16.12%,-29.21%,-46.38%,-92.67%,-60.78%,7.39%,-98.48%,7.39%,-98.48%,7.39%,29.29,,10/5/2021,No,Yes,85,-3.30%,-0.11%,,1361.60,0.36,230080,324,,0.18,0.18,0.18,0.17,0.17,-3.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,
