"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc.","S&P 500","Healthcare","Diagnostics & Research","USA",37885.04,30.68,22.70,6.20,5.75,6.09,22.67,24.63,21.31,5.73,0.94,0.72%,21.48%,4.23,1.26,-4.34%,9.90%,33.93%,4.95%,7.00%,-8.39%,3.38%,6591.00,1242.00,2.42%,-0.56%,292.12,290.54,99.46%,0.42%,-8.38%,92.34%,-3.30%,1.52%,2.62,4.42,11.47%,20.71%,14.58%,2.15,1.64,0.37,0.47,54.65%,24.00%,18.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.02%,-0.33%,-0.32%,-0.08%,-2.35%,-15.73%,-11.95%,-2.91%,8.75%,-6.60%,1.05,3.17,1.35%,1.97%,-7.81%,-7.92%,-0.02%,-16.41%,3.63%,-16.41%,34.14%,-27.69%,1735.44%,31.93,5/29/2024 4:30:00 PM,11/18/1999,Yes,Yes,18100,-0.12%,-0.44%,2.52,1691.30,1.28,2163274,19634,138.10,130.57,130.00,130.74,129.24,129.85,-0.55%,129.85,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA",6805.32,,16.79,,0.64,1.70,4.82,,22.24,7.86,0.35,0.92%,,-3.77,0.03,101.07%,9215.25%,,63.40%,-2.77%,-3.07%,-8.48%,10622.00,-672.00,-26.37%,2.12%,178.47,177.54,99.48%,1.13%,-1.36%,85.04%,-5.63%,7.04%,2.08,12.50,-4.68%,-15.48%,-10.40%,1.61,0.93,0.62,0.64,1.59%,-0.97%,-6.33%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.00%,-0.00%,-0.16%,-0.19%,-0.32%,-7.36%,-5.34%,24.51%,45.83%,4.90%,11.47%,2.46,1.65,3.51%,3.53%,-9.82%,-2.32%,22.33%,-16.67%,12.00%,-16.67%,64.28%,-61.36%,634.50%,38.83,4/17/2024 4:30:00 PM,10/18/2016,Yes,Yes,13600,0.11%,-1.76%,3.07,6006.03,0.54,3228435,18623,38.15,38.54,37.86,38.15,37.21,37.90,-1.66%,37.83,-0.19%,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.58,6.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.14%,-0.27%,-0.27%,-0.00%,0.02%,-0.06%,-0.13%,0.32%,1.98%,0.48%,0.03,0.09,0.40%,0.36%,-0.16%,-0.11%,0.29%,-0.69%,0.32%,-0.71%,3.97%,-1.25%,4.37%,46.59,,9/9/2020,No,Yes,,0.00%,0.08%,,8.16,0.20,1656,21,,25.06,25.08,25.15,25.08,25.08,0.08%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,48,22538070,25.04,0.00,0.00,0.00,4999310.00,28.50,9997823.00,79.73,14953754.30,197.17,8.63,4.23,,,3.48,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.74%,-0.74%,-0.74%,-1.16%,1.92%,-2.33%,8.08%,15.09%,19.75%,12.92%,0.18,0.30,0.81%,0.94%,-0.76%,-0.52%,11.23%,-4.35%,2.33%,-4.35%,28.41%,-4.35%,96.56%,49.66,,8/15/2018,No,Yes,,0.15%,1.12%,,3025.03,0.57,1726509,1661,,22.78,23.04,23.11,22.99,23.08,1.27%,22.82,-1.11%,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,710157552,22.87,0.01,20867969.60,3.03,48771389.60,7.37,14821334.60,2.13,-53625663.20,-7.02,19.75,7.52,11.42,,12.28,"Global commodity gold physical"
5,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China",26.42,,,,0.84,1.66,3.31,,0.51,0.25,,,,-0.15,,,,25.83%,25.00%,1398.74%,8.25%,3.87%,31.63,-4.77,,,31.45,8.84,28.11%,,,16.58%,-0.75%,0.16%,0.59,0.01,-7.11%,-30.14%,-29.99%,0.23,0.22,0.19,0.36,51.74%,-18.64%,-15.07%,0.00%,0.00%,0.00%,-0.10%,-0.10%,-0.10%,-0.10%,-1.91%,-0.99%,-0.45%,-2.33%,-9.71%,-46.80%,-5.62%,-34.88%,-27.57%,0.86,0.06,7.16%,6.43%,-4.44%,-7.78%,-20.43%,-27.59%,7.69%,-49.09%,7.69%,-95.75%,287.16%,44.39,5/14/2024 4:30:00 PM,1/29/2008,No,Yes,581,3.70%,0.00%,1.00,24.37,0.14,3419,49,6.50,0.81,0.81,0.87,0.81,0.84,3.70%,0.84,-0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACI","Armada Acquisition Corp I","-","Financial","Shell Companies","USA",81.92,,,,,13.40,744.76,,0.86,0.02,,,,-0.20,,,,,,0.00%,,-1987.50%,0.00,-1.64,,,8.07,1.58,19.58%,77.83%,0.00%,16.58%,23.54%,0.02%,0.01,0.00,-6.21%,-9.14%,-26.85%,0.01,0.01,0.00,0.48,,0.00%,,0.00%,0.00%,0.00%,0.00%,-0.35%,-0.35%,-0.35%,-0.17%,-0.17%,-0.35%,0.09%,1.06%,4.55%,7.38%,15.02%,6.69%,-0.02,0.17,0.79%,0.94%,0.41%,0.35%,6.07%,-8.01%,3.42%,-8.30%,12.66%,-8.30%,34.23%,51.79,,11/10/2021,No,Yes,2,-0.35%,0.57%,,26.85,1.76,47198,109,,11.47,11.53,11.53,11.47,11.49,0.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA",666.25,39.39,,,,1.31,406.25,,8.15,0.03,,,0.00%,0.27,,,,,,0.00%,,,0.00,16.92,,,50.00,50.00,100.00%,20.00%,0.00%,69.65%,,0.00%,0.01,0.00,,,3.29%,4.89,4.89,0.01,0.01,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.05%,-0.05%,0.36%,0.90%,2.25%,,2.11%,0.01,0.02,0.14%,0.16%,0.12%,0.33%,1.97%,-0.19%,0.95%,-0.88%,5.60%,-0.88%,5.60%,57.09,,6/12/2023,No,Yes,4,0.00%,0.00%,,222.06,0.65,143495,25,,10.66,10.66,10.66,10.65,10.66,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADI","Aadi Bioscience Inc","RUT","Healthcare","Biotechnology","USA",41.49,,,,1.74,0.46,0.47,,3.68,3.60,,,,-2.55,-0.69,-4.10%,-12.44%,11.87%,,225.26%,-8.76%,-19.60%,23.84,-68.83,-8.97%,-17.26%,24.55,17.44,71.04%,28.99%,-3.34%,43.02%,13.61%,5.10%,4.46,0.89,-48.86%,-58.22%,-75.47%,5.16,4.86,0.01,0.08,87.70%,-313.00%,-288.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.60%,-0.30%,-2.05%,-0.60%,-2.87%,-8.15%,-22.12%,-68.47%,-79.24%,-16.34%,0.70,0.10,4.36%,4.80%,-6.14%,-9.79%,-44.55%,-24.89%,1.81%,-80.09%,9.03%,-98.33%,9.03%,39.52,5/8/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,1.81%,-1.19%,1.40,199.63,0.76,150858,817,11.00,1.68,1.66,1.73,1.65,1.69,0.60%,1.67,-1.18%,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.43,0.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.01%,-0.78%,-2.13%,-5.28%,2.26%,11.84%,23.91%,10.19%,1.05,0.77,0.82%,0.62%,-3.20%,-1.26%,10.22%,-5.28%,4.36%,-5.28%,33.60%,-10.68%,152.73%,40.72,,7/21/2010,No,Yes,,-1.09%,-1.40%,,1.02,2.51,2560,29,,63.52,62.63,62.68,61.61,61.95,-2.47%,61.95,0.00%,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,37,26568117,62.51,-0.01,0.00,0.00,-1557700.00,-5.54,-1557700.00,-5.54,-9904500.00,-27.16,23.91,-3.08,5.05,4.89,6.83,"International equity"
10,"AAGR","African Agriculture Holdings Inc","-","Consumer Defensive","Farm Products","USA",19.68,,,,15.62,,281.08,,-0.42,0.00,,,,-0.72,,,,,,83.79%,-16.93%,-24.46%,1.26,-37.30,,,57.87,15.65,27.04%,72.96%,0.00%,3.84%,2.17%,2.51%,2.61,0.39,-265.30%,-953.01%,,0.11,0.03,,,-1634.04%,-2752.45%,-2950.61%,0.00%,0.00%,0.00%,0.00%,1.49%,0.00%,1.80%,0.18%,0.03%,-0.96%,-1.45%,-9.36%,-23.85%,-53.29%,-95.34%,-72.80%,-0.69,0.04,12.48%,11.10%,-6.93%,-8.83%,-88.85%,-35.73%,16.84%,-97.01%,17.20%,-97.01%,17.20%,42.11,,10/5/2021,No,Yes,85,-5.35%,1.41%,,150.92,0.54,82159,129,,0.35,0.36,0.36,0.31,0.34,-4.01%,0.34,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
