"No.","Ticker","Company","Index","Sector","Industry","Country","Exchange","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc","S&P 500","Healthcare","Diagnostics & Research","USA","NYSE",39198.79,31.26,22.61,3.91,6.02,6.69,29.49,28.55,20.68,4.69,1.00,0.72%,21.31%,4.42,1.27,5.17%,9.94%,5.64%,8.00%,5.04%,0.77%,-24.75%,6510.00,1289.00,3.54%,1.10%,287.33,286.10,99.57%,0.43%,-1.69%,90.55%,-1.16%,1.00%,1.67,2.87,11.40%,21.95%,13.95%,2.09,1.58,0.57,0.57,57.85%,24.21%,19.80%,-0.07%,-0.13%,-0.13%,-0.18%,-0.16%,-0.19%,-0.44%,-0.25%,-0.34%,0.22%,-3.96%,6.20%,-0.04%,4.91%,0.25%,-0.53%,1.06,3.22,2.10%,2.52%,1.14%,1.13%,-0.43%,-5.70%,10.74%,-10.98%,11.39%,-22.98%,1854.88%,51.41,11/25/2024 4:30:00 PM,11/18/1999,Yes,Yes,18100,-0.75%,0.24%,2.33,1713.73,0.43,255677,3774,148.73,139.00,139.34,138.57,138.31,138.30,-0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA","NYSE",9895.60,,10.22,,0.91,1.91,7.27,,20.32,5.34,0.40,1.03%,,-1.75,0.89,136.19%,362.20%,,,-2.77%,6.63%,140.75%,10909.00,-292.00,128.64%,-2.12%,258.35,256.40,99.25%,0.76%,-1.22%,74.47%,-0.43%,3.30%,1.67,8.45,-2.05%,-5.98%,-3.78%,1.41,0.80,0.47,0.56,6.01%,3.14%,-2.68%,-0.04%,-0.02%,-0.01%,-0.10%,-0.10%,-0.38%,-0.33%,-0.22%,-0.41%,-0.41%,-7.62%,-5.87%,14.19%,3.72%,29.74%,14.09%,2.45,1.62,3.57%,3.42%,-11.88%,-8.74%,3.74%,-18.79%,5.20%,-18.79%,56.04%,-60.45%,651.78%,33.02,10/16/2024 4:30:00 PM,10/18/2016,Yes,Yes,13600,0.29%,-1.12%,1.80,5058.39,0.52,916007,6273,50.08,39.12,38.68,39.19,38.68,38.79,-0.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA","NYSE",,,,,,,,,,,1.56,6.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.16%,0.12%,0.12%,-0.16%,-0.20%,0.16%,-0.16%,0.28%,0.44%,0.02,0.08,0.29%,0.33%,-0.18%,-0.13%,-0.09%,-0.59%,0.28%,-0.83%,0.48%,-1.29%,4.33%,44.00,,9/9/2020,No,Yes,,0.12%,-0.36%,,7.72,0.72,1932,23,,25.13,25.04,25.14,25.06,25.07,-0.24%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,44,25037800,25.04,0.00,0.00,0.00,2498550.00,11.09,12496373.00,99.64,12496373.00,99.64,6.51,5.08,,,3.76,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA","AMEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.02%,0.00%,0.02%,0.00%,-0.13%,-0.12%,-0.19%,-0.25%,-0.57%,-0.25%,3.29%,3.19%,14.20%,29.95%,28.26%,0.19,0.30,0.67%,0.68%,-0.07%,-0.74%,7.89%,-5.02%,3.68%,-5.02%,33.45%,-5.02%,123.27%,48.88,,8/15/2018,No,Yes,,-0.23%,0.36%,,2259.53,0.66,520973,733,,26.17,26.27,26.28,26.20,26.21,0.13%,,,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,939284218,26.54,-0.01,-11749500.00,-1.24,71065311.50,8.19,125962133.34,15.49,120465338.34,14.71,30.55,13.89,12.22,,13.49,"Global commodity gold physical"
5,"AACBU","Artius II Acquisition Inc","-","Financial","Shell Companies","USA","NASD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China","NASD",28.60,,,,0.82,3.03,5.10,,0.30,0.18,,,,-0.18,,,,25.83%,,1398.74%,14.38%,-100.63%,34.79,-5.67,,,31.96,8.84,27.66%,,,0.79%,-0.24%,2.08%,3.77,0.18,-8.77%,-47.92%,-46.11%,0.16,0.16,0.30,0.60,51.81%,-20.39%,-16.30%,0.00%,-0.47%,-0.47%,-0.47%,-0.47%,-0.47%,0.55%,0.55%,-0.56%,-0.56%,9.13%,-12.25%,67.54%,10.49%,0.56%,-22.82%,0.83,0.05,5.81%,5.19%,-6.01%,-8.17%,1.18%,-17.89%,11.17%,-45.76%,79.00%,-95.47%,312.51%,41.01,11/7/2024 4:30:00 PM,1/29/2008,No,Yes,581,0.00%,0.56%,1.00,48.92,0.21,3551,58,6.50,0.89,0.89,0.90,0.89,0.89,0.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA","NYSE",683.44,25.44,,,,1.31,574.32,,8.36,0.02,,,0.00%,0.43,,,,,,0.00%,,8.79%,0.00,26.89,,,50.00,46.46,92.92%,25.66%,0.00%,71.30%,,0.04%,0.15,0.02,5.05%,5.28%,5.10%,2.51,2.51,0.01,0.01,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.05%,-0.31%,-0.31%,0.14%,0.41%,1.30%,2.77%,5.14%,4.84%,0.00,0.02,0.23%,0.21%,0.22%,0.56%,2.02%,-0.23%,1.34%,-0.50%,5.24%,-0.50%,8.42%,64.47,,6/12/2023,No,Yes,4,-0.31%,0.36%,,136.30,0.19,9109,8,,10.94,10.98,10.95,10.94,10.94,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADI","Aadi Bioscience Inc","-","Healthcare","Biotechnology","USA","NASD",59.40,,,,2.37,0.86,0.95,,2.80,2.54,,,,-2.29,-0.21,22.54%,84.13%,11.87%,,225.26%,21.03%,23.31%,25.07,-61.69,-0.55%,9.36%,24.61,20.09,81.63%,18.48%,-2.77%,48.67%,13.81%,1.12%,1.92,0.22,-54.75%,-65.95%,-88.77%,4.89,4.54,0.01,0.01,87.39%,-253.63%,-246.06%,0.00%,-0.41%,-0.41%,-0.41%,0.00%,0.29%,-0.41%,0.00%,-0.62%,0.00%,-2.43%,11.06%,30.98%,47.85%,-55.12%,19.31%,0.72,0.11,4.33%,4.94%,2.79%,11.02%,27.54%,-8.23%,26.84%,-56.10%,99.17%,-97.62%,99.17%,60.20,11/6/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,0.00%,0.00%,3.00,116.48,0.22,9030,91,2.00,2.41,2.41,2.45,2.40,2.41,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,1.08,1.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.23%,-0.16%,0.90%,0.90%,1.47%,9.59%,13.25%,14.09%,28.03%,26.71%,1.04,0.70,0.92%,0.60%,3.70%,7.09%,12.69%,0.25%,13.42%,0.25%,32.92%,0.25%,190.61%,73.40,,7/21/2010,No,Yes,,0.90%,0.08%,,0.94,10.36,3400,17,,70.55,70.60,71.54,70.61,71.24,0.98%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,37,26508206,70.69,0.01,-332500.00,-1.24,-991500.00,-3.61,-4671150.00,-14.98,-5788350.00,-17.92,27.36,3.94,6.15,6.37,7.56,"International equity"
10,"AAL","American Airlines Group Inc","-","Industrials","Airlines","USA","NASD",10854.24,52.27,7.45,,0.20,,1.18,,-7.39,14.30,,,0.00%,0.32,0.59,-37.81%,37.00%,-17.73%,-1.25%,16.93%,1.22%,72.80%,53613.00,275.00,66.94%,1.10%,657.10,648.71,98.72%,1.28%,0.00%,56.82%,-8.73%,7.31%,1.44,47.43,0.43%,,0.99%,0.57,0.47,,,20.34%,5.16%,0.51%,-0.06%,-0.03%,-0.00%,0.12%,0.15%,0.09%,0.15%,-0.52%,-0.53%,-0.41%,-1.92%,18.02%,50.67%,47.12%,15.35%,22.49%,1.41,0.60,3.20%,3.43%,7.77%,19.31%,32.97%,-7.55%,49.07%,-7.55%,85.56%,-71.51%,104.00%,66.81,10/24/2024 8:30:00 AM,12/9/2013,Yes,Yes,132100,-0.47%,-0.06%,2.38,32859.62,0.42,4810417,15974,18.00,16.92,16.91,16.95,16.72,16.83,-0.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,
