"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc.","S&P 500","Healthcare","Diagnostics & Research","USA",42813.13,34.80,23.94,4.32,6.36,6.92,24.49,25.96,21.12,5.96,0.94,0.64%,21.48%,4.20,1.19,1.12%,10.94%,33.93%,8.05%,7.00%,-5.58%,-0.13%,6735.00,1236.00,5.31%,4.45%,292.12,291.82,99.90%,0.42%,-11.17%,90.94%,-3.29%,0.94%,1.71,2.74,11.30%,20.95%,13.95%,2.68,2.04,0.43,0.44,54.54%,23.91%,18.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.60%,-2.15%,-2.29%,-2.23%,-0.81%,8.42%,5.89%,26.04%,6.78%,5.08%,1.10,3.29,2.14%,2.15%,3.90%,7.97%,18.40%,-3.62%,15.27%,-3.62%,50.92%,-18.64%,1965.00%,62.27,2/27/2024 4:30:00 PM,11/18/1999,Yes,Yes,18100,-1.21%,0.27%,2.50,1598.92,1.43,2281167,15087,146.56,147.48,147.88,148.36,145.90,146.09,-0.94%,144.08,-1.38%,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA",5571.75,,13.93,,0.52,1.30,5.18,,23.82,5.99,0.35,1.13%,,-3.66,-0.43,106.79%,1345.29%,,44.30%,-2.77%,-3.85%,60.23%,10706.00,-651.00,33.86%,0.21%,178.47,177.39,99.39%,1.21%,-1.27%,84.49%,-5.63%,6.67%,1.91,11.84,-4.50%,-13.96%,-10.69%,1.45,0.74,0.43,0.46,2.25%,-0.22%,-6.08%,0.00%,0.00%,0.00%,-0.13%,-0.16%,-0.19%,-0.31%,-1.02%,-1.44%,-1.18%,1.77%,13.29%,3.78%,7.56%,-23.85%,-8.74%,2.44,1.27,4.21%,3.89%,10.19%,8.18%,4.54%,-4.38%,24.82%,-27.75%,34.50%,-68.37%,501.36%,61.71,1/17/2024 4:30:00 PM,10/18/2016,Yes,Yes,13600,0.29%,1.64%,3.14,6186.13,1.11,6837395,24021,30.69,30.44,30.94,31.66,30.79,31.03,1.94%,30.98,-0.16%,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","AXS First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.55,6.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.07%,-0.12%,-0.04%,0.16%,-0.12%,0.40%,1.13%,2.24%,0.56%,0.03,0.08,0.23%,0.34%,-0.03%,-0.01%,0.92%,-0.63%,0.48%,-0.63%,4.05%,-1.17%,4.45%,50.48,,9/9/2020,No,Yes,,-0.12%,0.06%,,8.08,0.32,2549,42,,25.11,25.13,25.12,25.08,25.10,-0.06%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,45,17499820,25.00,0.00,2496344.30,16.64,4998513.00,39.98,4998513.00,39.98,9954444.30,131.93,8.94,3.71,,,3.30,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.06%,-0.09%,-0.05%,0.06%,-1.00%,7.76%,6.02%,12.26%,12.29%,4.65%,0.19,0.18,0.60%,0.72%,3.09%,5.17%,9.18%,-1.59%,8.88%,-1.59%,19.00%,-1.59%,82.16%,69.08,,8/15/2018,No,Yes,,0.16%,0.00%,,2119.74,0.73,1540557,854,,21.35,21.35,21.40,21.33,21.39,0.16%,21.37,-0.07%,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,620182503,21.42,-0.00,-27109155.00,-4.19,-39446850.00,-5.98,-33950055.00,-5.19,89513181.50,16.87,12.34,7.41,10.51,,11.30,"Global commodity gold physical"
5,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China",48.64,,,,1.59,3.42,5.42,,0.45,0.29,,,,-0.18,,,,,25.00%,1747.97%,7.91%,42.42%,30.59,-5.76,,,31.38,8.84,28.17%,,,16.36%,-0.78%,0.07%,0.24,0.01,-8.84%,-33.96%,-35.81%,0.22,0.22,0.13,0.29,50.68%,-21.46%,-18.84%,2.58%,1.27%,1.27%,0.63%,3.92%,3.92%,3.92%,3.58%,3.27%,4.61%,-2.65%,6.90%,74.16%,35.92%,-22.11%,33.66%,1.13,0.13,6.33%,10.16%,7.62%,24.38%,31.29%,-6.05%,68.33%,-25.12%,96.53%,-92.15%,614.40%,61.75,11/13/2023 4:30:00 PM,1/29/2008,No,Yes,,-6.06%,4.50%,1.00,25.40,1.76,44590,170,6.50,1.58,1.65,1.65,1.40,1.55,-1.84%,1.59,2.58%,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACI","Armada Acquisition Corp I","-","Financial","Shell Companies","USA",89.58,,,,,5.39,1791.54,,2.06,0.01,,,,-0.15,,,,,,0.00%,,-252.22%,0.00,-1.29,,,8.07,2.53,31.35%,68.71%,0.00%,28.58%,20.18%,0.02%,0.03,0.00,-1.43%,-1.56%,-7.74%,0.01,0.01,0.00,0.17,,0.00%,,0.00%,-0.90%,-0.90%,-0.90%,-1.70%,-1.26%,-1.17%,-1.17%,-1.70%,-1.79%,1.09%,1.93%,4.03%,9.79%,12.35%,3.06%,0.01,0.10,0.13%,0.20%,1.20%,2.13%,6.35%,0.45%,3.74%,0.45%,10.34%,-9.02%,29.67%,68.23,,11/10/2021,No,Yes,2,-1.07%,1.54%,,16.10,1.27,20529,68,,11.05,11.22,11.96,11.00,11.10,0.45%,11.00,-0.90%,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA",660.62,39.06,,,,1.31,345.88,,8.04,0.03,,,0.00%,0.27,,,,,,0.00%,,,0.00,16.92,,,50.00,49.25,98.50%,21.20%,0.00%,68.95%,,0.01%,0.02,0.00,,,3.33%,8.65,8.65,0.01,0.01,,0.00%,,0.00%,0.00%,0.00%,0.05%,0.05%,0.09%,0.09%,0.09%,0.09%,0.09%,0.24%,0.43%,1.54%,3.32%,,1.25%,,0.02,0.10%,0.17%,0.28%,0.62%,2.32%,0.00%,1.44%,-1.72%,4.71%,-1.72%,4.71%,65.86,,6/12/2023,No,Yes,4,0.19%,-0.14%,,162.68,0.96,156263,31,,10.56,10.55,10.57,10.55,10.57,0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADI","Aadi Bioscience Inc","RUT","Healthcare","Biotechnology","USA",52.05,,,,2.14,0.49,0.48,,4.28,4.43,,,,-2.44,-0.62,-1.07%,-18.00%,11.87%,,225.26%,21.03%,-16.38%,24.35,-65.77,7.41%,0.53%,24.55,17.39,70.84%,29.18%,-3.40%,41.24%,13.63%,5.46%,1.88,0.95,-41.54%,-49.90%,-62.03%,4.72,4.48,0.01,0.07,88.98%,-295.36%,-270.04%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.16%,-1.64%,-1.41%,-2.10%,-2.10%,-1.40%,11.58%,-60.52%,-61.73%,-72.68%,4.95%,0.59,0.16,10.08%,8.26%,3.33%,13.10%,-52.91%,-14.17%,36.77%,-75.49%,36.77%,-97.91%,36.77%,52.36,3/13/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,-2.30%,0.00%,1.40,505.03,0.36,182158,1186,11.67,2.17,2.17,2.17,2.10,2.12,-2.30%,2.10,-0.94%,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.42,0.69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.88%,-0.30%,1.39%,5.90%,9.09%,20.35%,32.42%,7.97%,1.02,0.59,0.48%,0.58%,2.72%,6.47%,15.86%,-0.54%,13.26%,-0.54%,35.04%,-12.49%,147.63%,66.88,,7/21/2010,No,Yes,,0.56%,-0.36%,,1.11,1.21,1342,25,,60.58,60.36,61.24,60.36,60.70,0.20%,60.70,0.00%,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,39,27324325,60.72,-0.00,0.00,0.00,-1117200.00,-3.93,0.00,0.00,-7835494.00,-22.29,33.79,-1.93,5.96,4.78,6.79,"International equity"
10,"AAGR","African Agriculture Holdings Inc","-","Consumer Defensive","Farm Products","USA",27.73,,,,,4.11,1386.57,,0.12,0.00,,,,-0.30,,,,,,0.00%,,-148.38%,0.00,-4.53,,,57.87,43.61,75.36%,24.64%,0.00%,4.15%,2.17%,0.32%,0.19,0.14,-4.04%,-4.81%,-294.64%,0.01,0.01,0.00,1.06,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-1.88%,0.00%,-2.08%,-4.04%,45.88%,-42.27%,-28.69%,-93.59%,-93.24%,-61.66%,-0.73,0.12,33.73%,21.50%,-24.34%,-41.27%,-90.80%,-60.07%,58.15%,-95.79%,58.15%,-95.79%,58.15%,34.11,,10/5/2021,No,Yes,4,-0.17%,7.50%,,744.10,0.10,75846,180,,0.45,0.48,0.50,0.45,0.48,7.32%,0.47,-1.92%,,,,,,,,,,,,,,,,,,,,,,,,,
