"No.","Ticker","Company","Index","Sector","Industry","Country","Exchange","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc","S&P 500","Healthcare","Diagnostics & Research","USA","NYSE",38419.95,30.42,22.04,3.66,5.90,6.51,28.91,27.98,20.68,4.66,0.99,0.73%,21.31%,4.43,1.27,5.17%,9.84%,5.63%,8.32%,5.04%,0.77%,-24.56%,6510.00,1289.00,3.54%,1.10%,285.19,283.95,99.57%,0.47%,-1.39%,88.16%,-0.50%,1.14%,1.87,3.25,11.36%,21.95%,13.73%,2.09,1.58,0.59,0.61,54.72%,24.52%,19.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.74%,-0.42%,-1.24%,-7.26%,-5.32%,0.75%,-1.00%,3.78%,0.25%,1.09,3.54,2.23%,2.30%,-8.35%,-4.88%,-2.86%,-12.46%,2.32%,-13.31%,8.46%,-25.00%,1803.57%,31.09,2/26/2025 4:30:00 PM,11/18/1999,Yes,Yes,17900,-1.69%,0.40%,2.19,1737.23,0.78,1358730,17247,152.33,136.45,136.99,137.16,134.31,134.67,-1.30%,134.00,-0.50%,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA","NYSE",9362.78,,10.83,,0.79,1.78,8.23,222.92,20.32,4.40,0.40,1.10%,153.85%,-0.15,1.55,211.93%,-20.53%,,37.63%,3.92%,34.28%,190.42%,11799.00,60.00,9.72%,3.44%,258.36,256.13,99.14%,0.86%,-1.06%,69.59%,-1.76%,3.32%,1.81,8.50,0.43%,1.28%,0.79%,1.45,0.86,0.48,0.49,10.69%,7.87%,0.51%,-0.60%,-0.60%,-0.60%,-0.60%,-0.58%,-0.58%,-0.63%,-0.63%,-0.17%,-1.06%,0.33%,-5.11%,-11.50%,16.53%,40.19%,-4.08%,2.55,1.44,3.16%,3.69%,-0.48%,-4.41%,-4.84%,-22.54%,8.44%,-24.14%,45.78%,-63.05%,602.33%,46.74,1/22/2025 4:30:00 PM,10/18/2016,Yes,Yes,13600,-2.48%,2.14%,1.73,4704.72,0.66,3111409,23922,48.88,36.38,37.16,37.47,36.18,36.24,-0.38%,36.27,0.08%,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA","NYSE",,,,,,,,,,,1.55,6.15%,,,,,,,,,,,,,,,,,,,,,,,2.30,0.05,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%,0.28%,-0.07%,-0.05%,0.27%,0.35%,-0.01%,0.23%,0.03,0.10,0.28%,0.37%,-0.11%,-0.04%,0.12%,-1.05%,0.61%,-1.05%,0.73%,-1.05%,4.59%,47.98,,9/9/2020,No,Yes,,-0.11%,-0.16%,,23.76,0.35,8404,44,,25.20,25.16,25.17,25.13,25.13,-0.27%,25.24,0.43%,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,54,42605910,25.06,0.00,12530470.00,41.66,17534520.00,69.94,15036310.00,54.54,27528724.30,182.59,5.85,5.33,,,3.83,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA","AMEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,1.46,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,-1.07%,-1.07%,0.11%,0.14%,0.09%,0.88%,6.97%,10.99%,17.84%,44.60%,10.01%,0.20,0.31,0.94%,0.76%,2.43%,6.26%,13.10%,-1.48%,11.62%,-1.48%,45.26%,-1.48%,143.03%,65.71,,8/15/2018,Yes,Yes,,-1.45%,-0.03%,,1999.11,1.02,2044487,3232,,28.96,28.95,29.00,28.44,28.53,-1.48%,28.53,0.00%,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,1062751141,28.81,-0.01,60153470.00,6.00,31223356.30,3.03,58717816.30,5.85,175775889.64,19.82,44.60,16.14,12.76,,14.62,"Global commodity gold physical"
5,"AACBU","Artius II Acquisition Inc","-","Financial","Shell Companies","USA","NASD",200.00,,,,,90909.09,,,0.00,0.00,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,0.03,0.03,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.06%,-0.06%,-0.05%,-0.09%,,,,,,0.00%,,0.02,,,0.00%,0.00%,0.00%,-0.30%,0.00%,-0.30%,0.00%,-0.30%,0.00%,,,2/13/2025,No,No,1,0.00%,0.00%,,8359.37,0.09,756160,164,,10.00,10.00,10.01,10.00,10.00,0.00%,10.00,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China","NASD",26.85,,,,0.77,2.84,4.79,,0.30,0.18,,,,-0.18,,,,25.83%,,24.82%,14.38%,-100.63%,34.79,-5.67,,,31.96,8.84,27.66%,,,0.78%,-0.24%,1.57%,6.29,0.14,-8.77%,-47.92%,-46.11%,0.16,0.16,0.30,0.60,51.81%,-20.39%,-16.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-2.38%,-2.38%,-1.20%,0.01%,-18.45%,-18.45%,43.00%,-34.38%,-0.71%,0.79,0.05,3.24%,5.61%,-0.88%,-3.50%,1.88%,-19.23%,20.00%,-49.09%,68.00%,-95.75%,287.16%,47.23,11/7/2024 4:30:00 PM,1/29/2008,No,Yes,581,-1.18%,0.18%,1.00,22.09,0.04,925,21,6.50,0.85,0.85,0.85,0.83,0.84,-1.00%,0.82,-2.38%,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA","NYSE",690.31,25.67,,,,1.32,580.09,,8.36,0.02,,,0.00%,0.43,,,,,,0.00%,,8.79%,0.00,26.89,,,50.00,50.00,100.00%,20.00%,0.00%,74.94%,,0.02%,0.07,0.01,5.05%,5.28%,5.10%,2.51,2.51,0.01,0.01,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.03%,0.14%,0.41%,1.61%,2.70%,5.14%,0.59%,-0.00,0.02,0.20%,0.23%,0.25%,0.59%,2.19%,-0.23%,1.33%,-0.23%,5.39%,-0.23%,9.41%,69.37,,6/12/2023,No,Yes,4,-0.14%,0.09%,,139.12,0.07,10273,28,,11.05,11.06,11.06,11.04,11.05,-0.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADI","Aadi Bioscience Inc","-","Healthcare","Biotechnology","USA","NASD",63.96,,,,2.55,0.93,1.02,,2.80,2.54,,,,-2.29,-0.47,9.02%,54.50%,11.87%,37.35%,306.58%,21.03%,23.31%,25.07,-61.69,-0.55%,9.36%,24.61,20.21,82.12%,18.17%,-1.10%,57.09%,16.05%,3.50%,1.95,0.71,-54.75%,-65.95%,-88.77%,4.89,4.54,0.01,0.01,87.39%,-253.63%,-246.06%,0.00%,0.00%,0.00%,0.00%,0.38%,0.38%,0.38%,3.51%,3.24%,1.72%,-6.50%,-20.06%,19.35%,86.33%,45.51%,-17.91%,0.65,0.17,4.40%,5.05%,-8.88%,-9.34%,25.12%,-32.06%,25.12%,-32.06%,114.05%,-97.44%,114.05%,39.72,11/6/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,-1.52%,0.77%,3.00,361.74,0.30,108349,543,3.00,2.61,2.63,2.65,2.56,2.59,-0.77%,2.66,2.70%,,,,,,,,,,,,,,,,,,,,,,,,,
9,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,0.92,1.19%,,,,,,,,,,,,,,,,,,,,,,,4.37,0.01,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,-0.02%,-0.31%,0.06%,-0.25%,0.03%,2.67%,6.92%,17.69%,26.31%,38.01%,11.88%,1.05,1.08,0.88%,0.96%,3.35%,7.23%,17.87%,0.72%,12.69%,0.72%,41.50%,0.72%,215.02%,66.34,,7/21/2010,No,Yes,,-0.49%,1.21%,,3.38,3.41,11514,40,,76.67,77.60,77.75,76.88,77.22,0.72%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,38,28332227,76.57,0.01,2211800.00,8.47,-552900.00,-1.91,2211800.00,8.47,-4891550.00,-14.72,38.01,6.13,6.68,7.54,8.13,"International equity"
10,"AAL","American Airlines Group Inc","-","Industrials","Airlines","USA","NASD",10494.38,14.09,5.12,0.59,0.19,,1.36,8.07,-6.05,11.74,,,0.00%,1.13,-0.27,22.13%,30.29%,-20.05%,23.93%,16.92%,4.58%,2806.57%,54211.00,846.00,29.83%,1.74%,657.57,648.91,98.68%,1.25%,-1.84%,60.99%,-9.28%,7.96%,1.83,51.63,1.36%,,3.08%,0.55,0.44,,,21.15%,5.95%,1.56%,0.00%,0.12%,0.12%,0.06%,-0.00%,0.12%,0.19%,0.19%,0.06%,0.76%,-6.99%,-11.62%,14.81%,63.96%,9.31%,-8.38%,1.25,0.59,3.63%,3.23%,-6.28%,-6.74%,20.49%,-16.39%,11.06%,-16.39%,76.07%,-72.97%,93.58%,37.53,1/23/2025 8:30:00 AM,12/9/2013,Yes,Yes,132100,0.85%,0.60%,2.08,28204.92,1.04,29204807,53039,21.46,15.74,15.84,15.98,15.64,15.97,1.46%,15.96,-0.06%,,,,,,,,,,,,,,,,,,,,,,,,,
11,"AAM","AA Mission Acquisition Corp","-","Financial","Shell Companies","USA","NYSE",534.42,,,,,1.31,921.41,,7.75,0.01,,,,,,,,,,,,,,,,,52.60,36.47,69.33%,30.66%,0.00%,59.72%,,0.05%,0.10,0.02,,,,1.56,1.56,0.00,0.00,,,,0.00%,0.00%,0.00%,0.00%,0.00%,-0.10%,-0.10%,-0.20%,-0.20%,-0.20%,-0.20%,0.40%,1.09%,,,0.59%,,0.02,0.20%,0.26%,0.09%,0.45%,0.89%,-0.29%,1.20%,-0.29%,2.01%,-0.29%,2.01%,57.22,,9/16/2024,No,Yes,,-0.20%,0.10%,,184.19,0.01,2023,6,,10.17,10.18,10.18,10.16,10.16,-0.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"AAM-U","AA Mission Acquisition Corp","-","Financial","Shell Companies","USA","NYSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.00,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.99%,1.95%,,,0.30%,,0.04,0.30%,0.08%,0.49%,0.94%,1.28%,-1.26%,1.70%,-1.26%,2.01%,-1.26%,2.01%,57.09,,8/1/2024,No,No,,0.00%,0.00%,,25.52,0.00,0,0,,10.17,10.17,10.17,10.17,10.17,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"AAME","Atlantic American Corp","-","Financial","Insurance - Life","USA","NASD",32.64,,,,0.18,0.31,,26.75,5.18,,0.02,1.25%,,-0.36,,,,12.50%,,-1.43%,-0.16%,-234.91%,185.93,-7.31,,,20.40,3.83,18.77%,81.21%,0.00%,4.51%,0.33%,1.21%,8.30,0.05,-1.96%,-6.76%,-5.02%,0.88,,0.38,0.38,,-2.94%,-3.93%,0.63%,0.63%,0.63%,0.63%,-0.62%,-0.62%,-0.62%,0.81%,-0.31%,-0.31%,-4.88%,5.26%,-5.33%,0.00%,-33.33%,3.90%,0.57,0.09,3.76%,5.74%,-1.32%,3.09%,-1.88%,-9.60%,12.68%,-46.67%,26.98%,-89.98%,340.43%,49.33,,3/17/1980,No,Yes,155,-0.93%,-2.10%,,5.59,0.11,638,20,,1.65,1.62,1.62,1.60,1.60,-3.01%,1.61,0.62%,,,,,,,,,,,,,,,,,,,,,,,,,
14,"AAMI","Acadian Asset Management Inc","RUT","Financial","Asset Management","USA","NYSE",958.70,11.51,7.73,,1.86,,10.11,10.44,-0.48,2.54,0.04,0.16%,1.80%,2.23,0.49,0.18%,20.25%,-1.97%,,-7.12%,23.19%,109.14%,514.60,85.00,46.89%,14.02%,37.32,36.66,98.23%,1.77%,-9.58%,102.63%,-3.45%,4.85%,9.03,1.78,12.93%,282.39%,23.51%,,,17.08,17.08,96.23%,28.25%,16.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.49%,0.19%,-0.02%,1.86%,4.60%,-14.82%,11.79%,20.84%,-2.47%,1.55,0.82,3.04%,2.89%,1.79%,-3.78%,2.22%,-18.26%,9.32%,-18.50%,26.68%,-18.50%,611.63%,51.04,2/6/2025 8:30:00 AM,10/9/2014,Yes,Yes,387,-0.08%,0.31%,3.67,196.88,0.56,110600,1461,26.67,25.63,25.71,25.79,25.48,25.69,0.23%,25.69,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
15,"AAOI","Applied Optoelectronics Inc","RUT","Technology","Communication Equipment","USA","NASD",1240.74,,30.48,,5.92,5.48,29.99,,4.73,0.86,,,,-2.07,-0.02,-92.82%,204.92%,-74.26%,,4.02%,4.16%,-53.62%,209.55,-80.90,-24.93%,4.08%,44.85,44.83,99.96%,6.43%,-5.28%,67.11%,8.29%,21.30%,2.79,9.55,-20.64%,-41.44%,-27.62%,1.61,1.06,0.38,0.57,25.87%,-32.91%,-38.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,-1.33%,-0.69%,-12.53%,-16.93%,-9.25%,218.18%,37.99%,-29.73%,2.32,2.99,9.05%,10.30%,-8.94%,-20.22%,39.24%,-41.80%,14.00%,-41.80%,286.57%,-74.95%,1650.00%,42.74,2/26/2025 4:30:00 PM,9/26/2013,Yes,Yes,2149,-2.41%,-1.85%,2.17,3419.05,0.66,2249143,15090,37.37,27.04,26.54,27.03,25.72,25.90,-4.22%,26.00,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,
16,"AAON","AAON Inc","-","Industrials","Building Products & Equipment","USA","NASD",9197.60,49.53,38.48,2.93,7.60,11.54,1378.95,75.24,9.81,0.08,0.32,0.28%,15.01%,2.28,0.53,2.32%,30.64%,31.82%,16.89%,27.82%,4.90%,9.84%,1209.56,190.92,10.06%,3.63%,81.25,67.02,82.49%,17.55%,-0.55%,70.57%,-2.40%,2.34%,2.75,1.57,19.33%,25.81%,21.64%,3.06,1.79,0.11,0.11,34.17%,20.14%,15.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.28%,0.35%,-12.92%,-17.84%,28.63%,41.88%,-3.84%,0.93,4.48,2.40%,4.10%,-4.26%,-8.11%,9.99%,-18.64%,4.18%,-21.45%,61.01%,-21.45%,425257.41%,42.57,2/27/2025 8:30:00 AM,1/3/1991,Yes,Yes,3856,0.27%,0.00%,2.38,570.63,0.47,269143,6952,136.00,112.86,112.86,114.71,112.24,113.16,0.27%,113.16,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
17,"AAP","Advance Auto Parts Inc","-","Consumer Cyclical","Specialty Retail","USA","NYSE",2859.49,65.70,31.08,0.81,0.27,1.10,6.16,12.43,43.49,7.78,1.00,2.09%,451.08%,0.73,-1.26,-178.96%,490.11%,-38.63%,81.24%,3.88%,-21.00%,87.67%,10702.17,43.86,-120.17%,-17.94%,59.73,59.03,98.83%,1.17%,0.36%,117.98%,-2.51%,16.97%,4.78,10.02,0.20%,0.93%,0.68%,1.34,0.62,1.47,1.47,41.13%,0.82%,0.41%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.02%,0.51%,-0.29%,-0.02%,4.18%,7.89%,19.94%,-20.88%,-25.70%,1.23%,1.26,1.90,4.04%,3.75%,0.02%,3.80%,-7.13%,-5.38%,16.27%,-45.95%,34.50%,-80.43%,288.24%,53.02,2/26/2025 8:30:00 AM,11/29/2001,Yes,Yes,69000,-2.31%,0.84%,3.04,2094.20,0.56,1176414,11386,43.85,48.59,49.00,49.01,47.49,47.87,-1.48%,47.73,-0.29%,,,,,,,,,,,,,,,,,,,,,,,,,
18,"AAPB","GraniteShares 2x Long AAPL Daily ETF","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.03,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.41%,-0.06%,0.54%,15.23%,4.25%,15.27%,14.81%,51.34%,-6.34%,1.86,1.46,4.61%,5.21%,10.49%,1.76%,14.14%,-13.28%,23.12%,-13.28%,98.81%,-13.28%,121.96%,59.57,,8/9/2022,Yes,Yes,,2.86%,-0.32%,,153.63,1.72,263609,1245,,30.85,30.75,31.81,30.75,31.63,2.53%,31.66,0.09%,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.15%,4,21307436,30.88,0.02,-2224968.36,-9.45,-4237914.59,-16.59,-1592007.64,-6.95,5402928.80,33.97,51.34,,,,17.52,"U.S. single-asset AAPL leverage"
19,"AAPD","Direxion Daily AAPL Bear 1X Shares","-","Financial","Exchange Traded Fund","USA","NASD",,,,,,,,,,,0.69,4.46%,,,,,,,,,,,,,,,,,,,,,,,1.34,0.92,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.19%,-0.13%,-0.10%,-7.04%,-3.05%,-9.04%,-10.04%,-25.97%,2.16%,-1.12,0.42,2.42%,2.61%,-5.31%,-2.28%,-10.37%,-10.35%,6.05%,-34.28%,6.05%,-50.65%,6.05%,39.28,,8/9/2022,Yes,Yes,,-1.45%,0.19%,,685.81,0.78,531773,1021,,15.79,15.82,15.83,15.55,15.59,-1.27%,15.61,0.13%,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,10,26896521,15.59,-0.00,-2304118.40,-7.89,2408687.93,9.84,59831.38,0.22,-2603687.07,-8.83,-23.88,,,,-14.63,"U.S. single-asset AAPL inverse"
20,"AAPG","Ascentage Pharma Group International ADR","-","Healthcare","Biotechnology","China","NASD",1580.13,,,,12.63,13.53,10.43,,1.35,1.75,,,,-0.70,,,,-11.77%,,186.51%,,,125.11,-49.71,,,52.23,,,,,,15.84%,,0.29,0.09,-11.99%,-53.26%,-20.79%,1.84,1.83,1.27,2.22,87.26%,-37.93%,-39.73%,0.00%,0.66%,0.77%,0.63%,0.75%,0.77%,0.58%,0.77%,1.05%,0.27%,-2.30%,,,,,4.95%,,0.77,3.24%,,1.50%,1.50%,1.50%,-5.83%,10.55%,-5.83%,10.55%,-5.83%,10.55%,,,1/27/2025,No,Yes,583,-1.62%,7.42%,,303.86,0.70,213523,1101,,17.26,18.54,18.93,17.90,18.24,5.68%,18.24,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,
21,"AAPL","Apple Inc","DJIA, NDX, S&P 500","Technology","Consumer Electronics","USA","NASD",3674399.21,38.82,29.83,2.78,9.28,55.11,68.33,37.38,4.44,3.58,1.03,0.42%,16.11%,6.30,1.62,20.48%,11.95%,15.41%,13.95%,9.18%,3.95%,10.63%,395760.00,96150.00,2.23%,0.03%,15040.73,15006.10,99.77%,0.11%,-4.50%,63.13%,0.18%,0.83%,2.48,124.92,27.57%,136.52%,63.80%,0.92,0.88,1.26,1.45,46.52%,31.76%,24.30%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.02%,0.02%,0.02%,-0.11%,0.13%,7.46%,2.83%,9.08%,10.32%,32.19%,-2.32%,1.18,6.09,2.42%,2.67%,5.40%,1.70%,9.70%,-5.96%,11.50%,-5.96%,49.08%,-5.96%,384394.43%,60.46,1/30/2025 4:30:00 PM,12/12/1980,Yes,Yes,164000,1.39%,-0.12%,2.20,50469.89,0.81,40840798,341114,251.05,241.53,241.25,245.55,240.99,244.60,1.27%,244.46,-0.06%,,,,,,,,,,,,,,,,,,,,,,,,,
