"No.","Ticker","Company","Index","Sector","Industry","Country","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS next Q","EPS growth this year","EPS growth next year","EPS growth past 5 years","EPS growth next 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","EPS Surprise","Revenue Surprise","Shares Outstanding","Shares Float","Float %","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Short Float","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","All-Time High","All-Time Low","Relative Strength Index (14)","Earnings Date","IPO Date","Optionable","Shortable","Employees","Change from Open","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Trades","Target Price","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change","Single Category","Asset Type","ETF Type","Sector/Theme","Region","Active/Passive","Net Expense Ratio","Total Holdings","Assets Under Management","Net Asset Value","Net Asset Value %","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)","Return 1 Year","Return 3 Year","Return 5 Year","Return 10 Year","Return Since Inception","Tags"
1,"A","Agilent Technologies Inc.","S&P 500","Healthcare","Diagnostics & Research","USA",39605.57,28.57,24.37,5.71,6.10,6.71,22.26,27.95,20.53,6.19,0.94,0.68%,21.48%,4.83,1.41,-3.74%,8.01%,33.93%,5.00%,7.00%,-5.62%,157.53%,6497.00,1413.00,4.85%,1.32%,292.12,286.18,97.97%,0.40%,-2.18%,93.45%,-3.35%,1.10%,1.69,3.16,13.04%,24.66%,17.57%,1.78,1.37,0.36,0.50,54.84%,24.49%,21.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,1.79%,1.79%,-0.18%,-1.47%,6.15%,-6.54%,19.99%,-0.86%,1.06,2.97,2.12%,1.99%,-1.21%,1.04%,0.49%,-5.23%,11.02%,-11.27%,42.40%,-23.24%,1848.38%,48.57,8/21/2024 4:30:00 PM,11/18/1999,Yes,Yes,18100,1.71%,-1.30%,2.38,1867.37,0.00,93,8,147.87,137.31,135.52,138.00,135.41,137.84,0.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"AA","Alcoa Corp","-","Basic Materials","Aluminum","USA",8814.56,,13.00,,0.82,1.57,5.96,,21.71,5.72,0.40,1.18%,,-3.08,0.44,122.25%,419.78%,,63.30%,-2.77%,4.08%,119.28%,10733.00,-550.00,107.79%,2.18%,258.34,256.36,99.23%,0.77%,0.00%,63.84%,-3.98%,4.44%,1.95,11.37,-3.87%,-12.58%,-8.64%,1.55,0.92,0.63,0.65,3.05%,0.29%,-5.12%,-0.58%,-0.38%,-0.32%,-0.23%,0.29%,0.68%,1.31%,3.21%,3.49%,3.52%,17.78%,6.33%,-9.97%,12.09%,13.02%,0.35%,2.42,1.45,3.89%,3.63%,7.38%,2.62%,2.25%,-20.84%,25.81%,-24.98%,47.90%,-65.22%,561.24%,58.73,7/17/2024 4:30:00 PM,10/18/2016,Yes,Yes,13600,3.46%,1.41%,2.00,5845.60,1.43,419198,893,43.11,32.52,32.98,34.32,32.52,34.12,4.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"AAA","Alternative Access First Priority CLO Bond ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,1.59,6.27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,0.36%,0.96%,1.00%,0.83%,0.70%,1.96%,1.32%,0.02,0.08,0.14%,0.24%,0.84%,0.87%,0.82%,0.38%,1.36%,0.04%,4.83%,-0.43%,5.24%,68.17,,9/9/2020,No,Yes,,0.40%,0.53%,,5.99,0.04,11,4,,25.06,25.19,25.29,25.19,25.29,0.93%,,,"Bonds - Non Government Asset Backed Securities","Bonds","US Bonds",,"US","Active",0.25%,44,22489470,24.99,0.01,0.00,0.00,0.00,0.00,9997823.00,80.04,14953754.30,198.44,7.77,4.67,,,3.65,"U.S. debt debt-securities CLO"
4,"AAAU","Goldman Sachs Physical Gold ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,-0.00%,-0.04%,0.15%,0.15%,0.13%,0.13%,3.14%,5.31%,10.81%,19.76%,35.18%,25.12%,0.20,0.26,0.67%,0.86%,2.82%,5.30%,14.76%,-0.04%,9.98%,-0.04%,42.29%,-0.04%,117.81%,69.71,,8/15/2018,No,Yes,,-0.12%,0.21%,,1886.12,0.11,10726,28,,25.55,25.60,25.60,25.53,25.57,0.09%,,,"Commodities & Metals - Gold / Metals","Commodities & Metals","Global Commodities & Metals",,,"Passive",0.18%,1,823631927,25.18,0.02,36392540.00,4.62,40075487.24,5.11,54896821.84,7.14,86697921.04,11.76,35.09,12.82,11.32,,13.63,"Global commodity gold physical"
5,"AACG","ATA Creativity Global ADR","-","Consumer Defensive","Education & Training Services","China",16.30,,,,0.48,1.48,2.95,,0.35,0.17,,,,-0.15,,,,25.83%,25.00%,1398.74%,38.45%,7.30%,33.61,-4.63,,,31.45,8.84,28.11%,,,0.83%,-0.76%,0.01%,0.04,0.00,-7.22%,-35.38%,-33.64%,0.18,0.18,0.25,0.48,53.17%,-17.01%,-13.77%,-0.27%,-0.27%,-0.27%,-0.27%,-0.27%,-0.27%,-0.27%,-0.27%,-0.27%,-0.27%,-5.56%,-16.39%,-39.29%,-67.70%,-56.03%,-56.02%,0.81,0.06,12.42%,11.28%,-13.40%,-21.04%,-45.48%,-40.68%,1.78%,-69.09%,1.78%,-97.42%,135.06%,38.44,8/7/2024 4:30:00 PM,1/29/2008,No,Yes,581,-0.27%,-3.51%,1.00,31.82,0.02,25,2,6.50,0.53,0.51,0.51,0.51,0.51,-3.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"AACT","Ares Acquisition Corporation II","-","Financial","Shell Companies","USA",673.75,25.59,,,,1.31,481.25,,8.25,0.02,,,0.00%,0.42,,,,,,0.00%,,84.91%,0.00,26.33,,,50.00,50.00,100.00%,20.00%,0.00%,69.00%,,0.22%,0.41,0.11,5.01%,5.24%,5.06%,3.83,3.83,0.01,0.01,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.23%,1.13%,2.08%,5.38%,3.26%,0.01,0.02,0.19%,0.17%,0.13%,0.37%,1.75%,-0.19%,1.03%,-0.19%,5.32%,-0.19%,6.79%,59.59,,6/12/2023,No,Yes,4,0.00%,0.00%,,268.28,0.00,0,0,,10.78,10.78,10.78,10.78,10.78,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"AADI","Aadi Bioscience Inc","-","Healthcare","Biotechnology","USA",44.30,,,,1.86,0.56,0.56,,3.20,3.19,,,,-2.43,-0.45,17.05%,44.47%,11.87%,,225.26%,-0.37%,19.25%,23.82,-65.44,21.74%,-0.18%,24.55,17.94,73.08%,27.10%,-3.47%,50.26%,13.57%,1.79%,1.08,0.32,-51.76%,-62.26%,-82.35%,4.20,3.92,0.01,0.09,87.18%,-296.67%,-274.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.12%,1.12%,-0.55%,24.14%,6.51%,-17.05%,-69.65%,-10.89%,0.68,0.11,5.98%,7.30%,5.36%,14.84%,-10.89%,-5.26%,48.76%,-70.83%,48.76%,-98.22%,48.76%,59.72,8/7/2024 8:30:00 AM,8/8/2017,Yes,Yes,89,1.12%,-1.11%,2.60,297.57,0.08,1258,3,5.75,1.80,1.78,1.80,1.78,1.80,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"AADR","AdvisorShares Dorsey Wright ADR ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.83,1.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.90%,3.22%,-0.66%,4.13%,25.19%,12.24%,1.05,0.75,0.25%,0.21%,1.64%,2.61%,5.32%,-1.85%,15.64%,-3.51%,36.09%,-9.02%,157.44%,58.32,,7/21/2010,No,Yes,,0.00%,0.00%,,0.81,0.00,0,0,,63.10,63.10,63.10,63.10,63.10,0.00%,,,"Global or ExUS Equities - Factor & Thematic","Equities (Stocks)","Global Ex. US Equities",,,"Active",1.10%,37,24636558,63.17,-0.00,-621000.00,-2.46,-2121950.00,-7.93,-3679650.00,-12.99,-7794550.00,-24.03,25.19,-2.05,5.16,5.04,6.85,"International equity"
9,"AAGR","African Agriculture Holdings Inc","-","Consumer Defensive","Farm Products","USA",7.27,,,,5.77,,103.92,,-0.42,0.00,,,,-0.72,,,,,,83.79%,-16.93%,-24.46%,1.26,-37.30,,,57.87,15.65,27.04%,72.96%,0.00%,3.01%,2.17%,0.84%,0.08,0.13,-265.30%,-953.01%,,0.11,0.03,,,-1634.04%,-2752.45%,-2950.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-6.89%,-6.89%,-6.19%,1.95%,-63.03%,-71.85%,-98.32%,-89.94%,-0.80,0.01,6.93%,9.02%,-7.13%,-14.91%,-82.78%,-35.21%,12.23%,-98.90%,12.23%,-98.90%,12.23%,39.92,,10/5/2021,No,Yes,85,-6.89%,3.77%,,1700.32,0.03,2237,3,,0.13,0.14,0.14,0.13,0.13,-3.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"AAL","American Airlines Group Inc","S&P 500","Industrials","Airlines","USA",7033.59,,5.74,,0.13,,0.75,,-7.23,14.19,,,0.00%,-0.28,0.08,-56.06%,60.27%,-17.73%,42.40%,16.93%,1.99%,-46.96%,53448.00,-121.00,2.68%,-0.30%,654.27,647.77,99.01%,1.36%,0.00%,61.52%,1.45%,14.98%,2.92,97.03,-0.18%,,-0.41%,0.60,0.50,,,20.24%,5.34%,-0.23%,0.00%,0.00%,0.19%,0.19%,-0.09%,-0.19%,-0.23%,-0.37%,-0.37%,-0.37%,-4.54%,6.15%,-5.05%,-23.28%,-19.23%,-22.05%,1.43,0.39,4.82%,3.24%,1.76%,2.78%,-17.05%,-4.80%,18.09%,-33.68%,18.09%,-81.87%,29.82%,53.56,7/25/2024 8:30:00 AM,12/9/2013,Yes,Yes,132100,-0.37%,0.56%,2.46,33273.09,0.13,222758,366,11.86,10.69,10.75,10.81,10.68,10.71,0.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"AAM","AA Mission Acquisition Corp.","-","Financial","Shell Companies","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"AAM-U","AA Mission Acquisition Corp.","-","Financial","Shell Companies","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.20%,,,,0.20%,,0.01,0.14%,0.13%,0.18%,0.18%,0.18%,0.00%,0.40%,0.00%,0.40%,0.00%,0.40%,62.34,,8/1/2024,No,No,,0.00%,0.00%,,966.80,0.00,0,0,,10.01,10.01,10.01,10.01,10.01,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"AAMC","Altisource Asset Management Corp","-","Financial","Mortgage Finance","USA",3.34,0.03,,,,3.06,0.28,0.32,0.43,4.76,,,,42.11,,,,-22.42%,,143.79%,-97.81%,33.29%,-15.19,101.19,,,2.55,0.86,33.73%,66.20%,0.00%,1.88%,-75.30%,2.88%,0.47,0.02,-53.06%,-131.64%,7637.13%,,,0.21,10.93,82.40%,171.05%,-666.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-15.34%,-52.36%,-45.86%,-62.03%,-68.63%,-68.36%,,0.30,12.06%,15.58%,-24.18%,-42.34%,-60.11%,-70.69%,24.77%,-82.00%,24.77%,-99.82%,24.77%,37.05,,12/13/2012,No,Yes,13,0.00%,0.00%,,52.73,0.00,0,0,,1.31,1.31,1.31,1.31,1.31,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"AAME","Atlantic American Corp.","-","Financial","Insurance - Life","USA",33.87,,,,0.18,0.34,,13.49,4.93,,0.02,1.20%,,-0.18,,,,12.50%,,0.22%,-3.09%,-150.86%,186.00,-3.55,,,20.40,3.86,18.92%,81.07%,0.00%,4.64%,1.25%,1.07%,9.29,0.04,-0.88%,-3.09%,-2.52%,0.91,,0.40,0.40,,-0.48%,-1.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.57%,3.78%,-6.46%,-41.33%,-16.14%,-32.23%,0.44,0.07,4.65%,3.84%,2.65%,4.31%,-18.43%,-6.19%,11.43%,-44.65%,11.44%,-89.60%,357.06%,53.81,,3/17/1980,No,Yes,155,0.00%,0.00%,,4.45,0.00,0,0,,1.66,1.66,1.66,1.66,1.66,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"AAN","Aarons Company Inc","RUT","Industrials","Rental & Leasing Services","USA",316.76,,17.18,,0.15,0.47,9.27,,21.41,1.08,0.62,6.23%,550.66%,-1.39,0.10,-100.00%,,-42.78%,,4.01%,-5.14%,-285.69%,2069.78,-42.58,-242.86%,-2.10%,30.36,30.27,99.70%,4.05%,0.04%,88.65%,-7.18%,11.57%,3.46,3.50,-2.37%,-6.22%,-3.16%,,,1.05,1.07,52.04%,3.03%,-2.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,-0.20%,29.72%,44.46%,-0.10%,-7.72%,1.42,0.06,0.56%,0.45%,-0.19%,0.21%,9.37%,-0.99%,2.14%,-15.63%,51.62%,-73.22%,51.62%,52.19,8/5/2024 4:30:00 PM,11/4/1982,Yes,Yes,9071,0.00%,0.00%,3.00,1011.49,0.00,0,0,10.08,10.04,10.04,10.04,10.04,10.04,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"AAOI","Applied Optoelectronics Inc","RUT","Technology","Communication Equipment","USA",600.41,,25.55,,2.90,3.20,37.25,,4.59,0.39,,,,-1.92,-0.17,-60.05%,185.47%,-74.26%,13.00%,-2.51%,3.98%,-15.45%,206.94,-72.10,4.14%,-1.98%,38.15,37.55,98.43%,8.18%,1.86%,74.69%,-2.24%,29.66%,4.83,11.14,-20.46%,-41.23%,-26.99%,1.64,0.97,0.43,0.59,28.20%,-28.56%,-34.84%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.27%,0.27%,-0.22%,-0.22%,12.75%,72.10%,45.63%,15.59%,50.49%,-24.02%,1.92,0.98,9.64%,8.41%,33.52%,51.97%,9.86%,-2.07%,119.10%,-40.69%,120.42%,-85.80%,891.89%,72.83,8/6/2024 4:30:00 PM,9/26/2013,Yes,Yes,2149,0.48%,0.00%,1.75,2303.94,0.01,603,10,16.00,14.61,14.61,14.71,14.61,14.68,0.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"AAON","AAON Inc.","-","Industrials","Building Products & Equipment","USA",7624.66,42.25,33.79,3.52,6.38,10.29,631.18,64.95,9.15,0.15,0.32,0.34%,15.01%,2.23,0.57,2.93%,23.01%,31.82%,12.00%,23.88%,10.43%,13.90%,1194.27,186.37,20.39%,10.50%,81.51,66.74,81.88%,17.62%,-1.24%,72.92%,-0.20%,5.32%,5.42,3.55,19.21%,26.61%,21.75%,2.99,1.70,0.16,0.16,34.93%,20.32%,15.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.69%,6.99%,24.84%,15.77%,53.72%,27.41%,0.80,2.73,3.10%,2.74%,3.03%,5.73%,16.23%,-2.52%,18.17%,-2.52%,80.17%,-2.52%,353687.90%,60.79,8/1/2024 4:30:00 PM,1/3/1991,Yes,Yes,3856,0.00%,0.00%,2.00,654.34,0.00,0,0,99.75,94.12,94.12,94.12,94.12,94.12,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"AAP","Advance Auto Parts Inc","-","Consumer Cyclical","Specialty Retail","USA",2479.22,3581.80,14.75,,0.22,0.95,5.17,7.09,43.68,8.03,0.97,2.35%,451.08%,0.01,0.54,327.45%,31.76%,-38.63%,,3.37%,-0.11%,-47.56%,11273.25,1.24,-18.50%,0.51%,59.51,58.99,99.13%,1.14%,1.33%,110.08%,-3.12%,15.99%,4.80,9.43,0.01%,0.05%,0.02%,1.23,0.30,1.52,1.52,39.75%,0.38%,0.01%,0.00%,0.00%,0.00%,0.34%,0.34%,0.34%,-0.07%,-0.15%,-0.04%,-0.04%,7.31%,-33.40%,-34.49%,-49.19%,-30.31%,-31.92%,1.20,1.94,3.83%,3.92%,-12.01%,-24.82%,-36.07%,-36.00%,10.77%,-53.08%,10.77%,-83.01%,236.97%,30.27,8/22/2024 8:30:00 AM,11/29/2001,Yes,Yes,69000,-0.17%,0.46%,3.18,1965.34,0.02,1952,12,49.05,41.43,41.62,41.62,41.30,41.55,0.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"AAPB","GraniteShares 2x Long AAPL Daily ETF","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,4.31,16.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,-0.23%,-0.19%,-0.15%,-0.34%,-0.42%,-0.91%,-4.04%,-7.82%,0.73%,45.78%,8.43%,13.67%,2.02,1.12,3.46%,3.26%,-7.38%,-6.79%,12.85%,-18.15%,22.12%,-18.15%,64.11%,-18.15%,83.23%,38.87,,8/9/2022,Yes,Yes,,-0.91%,-4.29%,,183.63,0.67,6171,105,,27.53,26.35,26.84,26.10,26.11,-5.16%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",1.15%,4,26990315,27.63,-0.06,-1107828.96,-3.94,-3490433.24,-11.45,14911819.06,123.46,13683229.69,102.83,37.77,,,,13.63,"U.S. single-asset AAPL leverage"
20,"AAPD","Direxion Daily AAPL Bear 1X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.84,4.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17%,-0.17%,-0.17%,-0.22%,-0.15%,-0.16%,0.28%,-0.37%,0.06%,0.06%,1.89%,4.21%,-2.41%,-21.59%,-19.99%,-11.79%,-1.22,0.37,1.79%,1.68%,3.75%,3.16%,-11.22%,-8.24%,9.87%,-24.92%,9.87%,-43.62%,9.87%,60.39,,8/9/2022,Yes,Yes,,0.28%,2.19%,,376.56,1.62,30561,57,,17.38,17.76,17.89,17.61,17.81,2.47%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,10,22144458,17.37,0.03,-1213956.63,-5.20,-5528008.41,-19.98,-5958382.19,-21.20,-4276012.07,-16.18,-19.32,,,,-13.27,"U.S. single-asset AAPL inverse"
21,"AAPL","Apple Inc","DJIA, NDX, S&P 500","Technology","Consumer Electronics","USA",3295336.72,33.00,29.13,2.97,8.55,49.46,53.32,31.58,4.38,4.06,0.99,0.46%,15.32%,6.57,1.60,9.29%,11.07%,15.55%,11.10%,8.34%,4.87%,10.88%,385603.00,101956.00,4.12%,1.59%,15550.06,15190.10,97.69%,0.09%,-4.28%,62.49%,-0.48%,0.89%,2.36,135.04,30.59%,160.58%,66.68%,0.95,0.91,1.29,1.52,45.96%,31.27%,26.44%,0.03%,0.02%,0.12%,0.06%,-0.04%,-0.10%,-0.16%,-0.12%,-0.23%,-0.68%,-1.89%,-3.55%,2.00%,25.56%,23.33%,12.57%,1.24,4.79,1.87%,1.76%,-3.51%,-2.85%,10.84%,-8.64%,10.58%,-8.64%,32.10%,-8.64%,340600.42%,39.64,8/1/2024 4:30:00 PM,12/12/1980,Yes,Yes,161000,-0.67%,-1.93%,1.85,57220.79,0.66,1897507,13372,247.22,222.50,218.20,222.50,216.30,216.74,-2.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"AAPR","Innovator Equity Defined Protection ETF - 2 Yr to April 2026","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.39%,1.63%,3.18%,,,4.71%,,0.09,0.16%,0.23%,0.64%,1.57%,3.33%,-0.04%,3.46%,-0.04%,7.09%,-0.04%,7.09%,63.77,,4/1/2024,No,Yes,,0.00%,0.00%,,14.51,0.00,0,0,,25.98,25.98,25.98,25.98,25.98,0.00%,,,"US Equities - Quant Strat","Equities (Stocks)","US Equities",,"US","Passive",0.79%,4,74146170,26.02,-0.00,1281575.00,1.76,-1914452.50,-2.52,68909905.00,1316.01,68909905.00,1316.01,,,,,10.73,"U.S. options treasuries buffer upside-cap fixed-period"
23,"AAPU","Direxion Daily AAPL Bull 2X Shares","-","Financial","Exchange Traded Fund","USA",,,,,,,,,,,0.70,2.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03%,-0.03%,0.30%,0.06%,-0.03%,-0.18%,-0.27%,-0.26%,-0.45%,-1.42%,-4.02%,-7.97%,-0.27%,46.13%,35.02%,21.82%,1.87,1.49,3.61%,3.45%,-7.40%,-6.95%,16.71%,-18.42%,22.26%,-18.42%,63.04%,-18.42%,114.73%,38.62,,8/9/2022,Yes,Yes,,-1.42%,-3.78%,,937.54,1.89,88372,266,,35.20,33.87,34.39,33.29,33.39,-5.14%,,,"Equity - Leveraged / Inverse","Equities (Stocks)","US Equities","Technology","US","Active",0.95%,11,108281241,35.21,-0.05,-22011155.83,-16.89,-20366497.79,-15.83,40958385.78,60.84,31015043.47,40.14,47.85,,,,20.13,"U.S. single-asset AAPL leverage"
